SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,60,懸浮微粒,普通,3.4,0.47,37,78,51,13,1.5,42,5,2014-10-17 21:00
三重,新北市,62,懸浮微粒,普通,3.6,1.75,,85,35,51,,,3,2014-10-17 21:00
三義,苗栗縣,51,懸浮微粒,普通,0.1,0.4,20,40,27,20,1.5,24,3,2014-10-17 21:00
土城,新北市,51,懸浮微粒,普通,1.7,0.53,40,60,22,17,1.3,282,2,2014-10-17 21:00
士林,臺北市,51,臭氧,普通,3.5,0.32,62,58,34,9,2.8,109,2,2014-10-17 21:00
大同,臺北市,56,懸浮微粒,普通,5.2,2.07,,74,21,60,,,2,2014-10-17 21:00
大里,臺中市,66,懸浮微粒,普通,3.2,0.92,4.2,80,39,53,1.6,167,5,2014-10-17 21:00
大園,桃園縣,51,懸浮微粒,普通,2.6,0.34,48,53,24,15,4.5,76,3,2014-10-17 21:00
大寮,高雄市,80,懸浮微粒,普通,3.5,1.1,21,122,60,51,0.6,205,5,2014-10-17 21:00
小港,高雄市,70,懸浮微粒,普通,2.8,0.82,54,98,44,32,1,42,6,2014-10-17 21:00
中山,臺北市,56,懸浮微粒,普通,4.2,0.75,26,75,29,37,2.7,119,2,2014-10-17 21:00
中壢,桃園縣,52,懸浮微粒,普通,3.1,1.31,22,60,20,33,1.4,163,2,2014-10-17 21:00
仁武,高雄市,80,懸浮微粒,普通,5.8,0.85,38,110,47,41,1.1,334,6,2014-10-17 21:00
斗六,雲林縣,72,懸浮微粒,普通,5.8,0.82,21,103,66,32,1.1,23,8,2014-10-17 21:00
冬山,宜蘭縣,31,,良好,1.3,0.26,21,27,15,13,1.5,319,2,2014-10-17 21:00
古亭,臺北市,47,,良好,1.5,0.5,40,60,26,19,2.8,100,2,2014-10-17 21:00
左營,高雄市,66,懸浮微粒,普通,5,0.52,66,81,42,16,1.3,314,5,2014-10-17 21:00
平鎮,桃園縣,42,,良好,3,0.49,40,40,28,13,3,74,2,2014-10-17 21:00
永和,新北市,38,,良好,2.2,0.57,44,48,26,16,2.1,138,2,2014-10-17 21:00
安南,臺南市,70,懸浮微粒,普通,3.7,0.49,48,91,48,20,1.5,24,5,2014-10-17 21:00
朴子,嘉義縣,81,懸浮微粒,普通,1.9,0.29,44,114,35,9.8,1.7,37,5,2014-10-17 21:00
汐止,新北市,45,,良好,5,0.38,39,53,30,23,2.8,45,3,2014-10-17 21:00
竹山,南投縣,71,懸浮微粒,普通,4.7,0.52,39,83,39,22,1,140,5,2014-10-17 21:00
竹東,新竹縣,35,,良好,2.8,0.4,31,31,18,10,1.1,136,2,2014-10-17 21:00
西屯,臺中市,60,懸浮微粒,普通,2,0.49,14,56,31,33,0.5,59,3,2014-10-17 21:00
沙鹿,臺中市,64,懸浮微粒,普通,2.6,0.37,19,76,30,21,1.7,16,4,2014-10-17 21:00
宜蘭,宜蘭縣,52,懸浮微粒,普通,2.2,0.4,27,39,15,14,1.3,287,2,2014-10-17 21:00
忠明,臺中市,60,懸浮微粒,普通,3.6,0.7,12,65,39,35,0.8,56,4,2014-10-17 21:00
松山,臺北市,51,懸浮微粒,普通,2.2,0.57,35,57,27,29,1.9,67,2,2014-10-17 21:00
板橋,新北市,48,,良好,3,0.69,28,59,28,31,1.7,79,2,2014-10-17 21:00
