SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,32,懸浮微粒,良好,2.1,.18,14,34,29,6.1,1.5,164,,2014-06-01 21:00
三重,新北市,55,懸浮微粒,普通,3.6,2.14,,52,29,48,,,,2014-06-01 21:00
三義,苗栗縣,31,懸浮微粒,良好,2.7,.31,19,28,15,12,1.7,200,,2014-06-01 21:00
土城,新北市,46,懸浮微粒,良好,4.3,1.04,2.4,51,22,35,1,170,,2014-06-01 21:00
士林,臺北市,43,懸浮微粒,良好,2.8,.64,5.6,37,13,25,1.8,134,,2014-06-01 21:00
大同,臺北市,53,懸浮微粒,普通,4,1.06,,52,16,44,,,,2014-06-01 21:00
大里,臺中市,47,懸浮微粒,良好,3.2,.44,16,36,17,15,1.1,169,,2014-06-01 21:00
大園,桃園縣,35,懸浮微粒,良好,3.1,.26,14,34,15,11,1.8,185,,2014-06-01 21:00
大寮,高雄市,15,懸浮微粒,良好,1.5,.34,7.3,16,7,12,1.7,298,,2014-06-01 21:00
小港,高雄市,35,懸浮微粒,良好,5.6,.18,7.4,29,12,14,2.3,285,,2014-06-01 21:00
中山,臺北市,60,懸浮微粒,普通,3.9,.88,20,67,26,39,1.3,79,,2014-06-01 21:00
中壢,桃園縣,54,懸浮微粒,普通,4.2,1.88,1.8,49,13,24,.8,238,,2014-06-01 21:00
仁武,高雄市,34,懸浮微粒,良好,1.8,.2,10,32,7,9.1,1.4,296,,2014-06-01 21:00
斗六,雲林縣,47,懸浮微粒,良好,5.2,.36,15,48,20,13,1,183,,2014-06-01 21:00
冬山,宜蘭縣,40,懸浮微粒,良好,2.8,.43,21,51,25,12,1.4,301,,2014-06-01 21:00
古亭,臺北市,54,懸浮微粒,普通,7.6,.83,20,51,25,36,1.3,104,,2014-06-01 21:00
左營,高雄市,38,懸浮微粒,良好,1.3,.14,12,32,8,5.1,1.2,300,,2014-06-01 21:00
平鎮,桃園縣,38,懸浮微粒,良好,2.8,.51,3.1,36,20,23,1.4,125,,2014-06-01 21:00
永和,新北市,38,懸浮微粒,良好,6.6,1.03,22,42,33,34,1.4,121,,2014-06-01 21:00
安南,臺南市,38,懸浮微粒,良好,4,.18,13,26,7,5,1.1,354,,2014-06-01 21:00
朴子,嘉義縣,38,懸浮微粒,良好,1.5,.29,9.2,32,16,11,2.1,225,,2014-06-01 21:00
汐止,新北市,47,懸浮微粒,良好,5.1,.49,20,43,24,26,.9,36,,2014-06-01 21:00
竹山,南投縣,33,懸浮微粒,良好,1.5,.2,11,24,4,9.4,1,193,,2014-06-01 21:00
竹東,新竹縣,37,懸浮微粒,良好,2.5,.44,4.5,39,15,14,1.7,130,,2014-06-01 21:00
西屯,臺中市,42,懸浮微粒,良好,3.8,.31,14,45,19,16,1.9,186,,2014-06-01 21:00
沙鹿,臺中市,27,懸浮微粒,良好,4.7,.38,16,37,30,18,2.6,242,,2014-06-01 21:00
宜蘭,宜蘭縣,37,懸浮微粒,良好,2.3,.47,39,44,18,11,1.2,43,,2014-06-01 21:00
忠明,臺中市,25,懸浮微粒,良好,3.3,.41,18,38,10,15,1.2,171,,2014-06-01 21:00
松山,臺北市,52,懸浮微粒,普通,4.2,.79,15,47,29,36,1.2,66,,2014-06-01 21:00
板橋,新北市,46,懸浮微粒,良好,5.7,1.1,17,48,22,41,1.4,60,,2014-06-01 21:00
林口,新北市,28,懸浮微粒,良好,4,.44,3.1,23,17,24,1.3,86,,2014-06-01 21:00
林園,高雄市,32,懸浮微粒,良好,5.8,.17,9.4,13,10,8.8,1.8,289,,2014-06-01 21:00
花蓮,花蓮縣,20,懸浮微粒,良好,1.2,.65,8,26,6,20,1.5,302,,2014-06-01 21:00
金門,金門縣,33,懸浮微粒,良好,1.2,.07,12,20,15,6.4,2.4,235,,2014-06-01 21:00
前金,高雄市,30,懸浮微粒,良好,1.5,.23,15,31,6,4.5,1.5,326,,2014-06-01 21:00
前鎮,高雄市,20,懸浮微粒,良好,1.6,.3,7.7,20,12,10,2,293,,2014-06-01 21:00
南投,南投縣,37,懸浮微粒,良好,2.1,.43,9.1,38,28,19,2,145,,2014-06-01 21:00
屏東,屏東縣,39,懸浮微粒,良好,2.8,.34,7.8,30,0,16,1.2,276,,2014-06-01 21:00
恆春,屏東縣,25,懸浮微粒,良好,3.3,.09,26,26,15,4.1,2.9,340,,2014-06-01 21:00
美濃,高雄市,24,懸浮微粒,良好,2.3,.17,18,21,4,7.6,1,26,,2014-06-01 21:00
苗栗,苗栗縣,22,懸浮微粒,良好,2.5,.38,13,26,6,19,3.8,101,,2014-06-01 21:00
埔里,南投縣,39,懸浮微粒,良好,1.4,.42,27,42,35,11,1.4,77,,2014-06-01 21:00
桃園,桃園縣,36,懸浮微粒,良好,5.6,.7,3,36,17,22,1.1,83,,2014-06-01 21:00
馬公,澎湖縣,13,懸浮微粒,良好,1.5,.34,9,12,8,7.4,1.4,177,,2014-06-01 21:00
