SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,58,懸浮微粒,普通,4,.29,63,65,48,13,.72,193.03,,2014-04-13 03:00
三重,新北市,64,懸浮微粒,普通,6,1.9,,77,36,58,,,,2014-04-13 03:00
三義,苗栗縣,58,臭氧,普通,4,.36,70,56,49,15,2.51,200.91,,2014-04-13 03:00
土城,新北市,75,臭氧,普通,5,.91,90,64,39,41,.87,149.64,,2014-04-13 03:00
士林,台北市,50,臭氧,良好,4,.68,60,44,39,34,1.9,123.26,,2014-04-13 03:00
大同,台北市,66,懸浮微粒,普通,7,1.45,,82,31,57,,,,2014-04-13 03:00
大里,台中市,58,懸浮微粒,普通,4,,,65,32,12,.95,255.25,,2014-04-13 03:00
大園,桃園縣,54,懸浮微粒,普通,5,.37,55,59,39,17,2.22,189.19,,2014-04-13 03:00
大寮,高雄市,37,臭氧,良好,3,.22,45,30,10,15,.82,43.51,,2014-04-13 03:00
小港,高雄市,40,懸浮微粒,良好,7,.2,37,40,24,23,1.16,59.12,,2014-04-13 03:00
中山,台北市,62,懸浮微粒,普通,7,1.07,47,74,29,57,1.47,160.04,,2014-04-13 03:00
中壢,桃園縣,64,懸浮微粒,普通,5,1.42,35,78,31,36,1.48,179.36,,2014-04-13 03:00
仁武,高雄市,51,懸浮微粒,普通,5,.36,47,52,23,26,.63,190.96,,2014-04-13 03:00
斗六,雲林縣,62,臭氧,普通,4,.44,74,65,30,15,1.13,116.86,,2014-04-13 03:00
冬山,宜蘭縣,47,臭氧,良好,3,.3,57,32,18,10,.77,203.48,,2014-04-13 03:00
古亭,台北市,51,懸浮微粒,普通,3,.77,57,52,27,38,1.45,170.93,,2014-04-13 03:00
台西,雲林縣,60,臭氧,普通,5,.33,72,54,21,8,1.42,159.9,,2014-04-13 03:00
台東,台東縣,30,臭氧,良好,1,.5,36,25,9,13,1.41,291.08,,2014-04-13 03:00
台南,台南市,84,臭氧,普通,3,.37,101,44,16,11,1.07,210.54,,2014-04-13 03:00
左營,高雄市,51,懸浮微粒,普通,4,.35,40,52,30,23,.85,299.16,,2014-04-13 03:00
平鎮,桃園縣,62,懸浮微粒,普通,4,.47,56,74,35,25,1.92,199.29,,2014-04-13 03:00
永和,新北市,46,懸浮微粒,良好,4,1.37,39,46,32,49,1.26,193.63,,2014-04-13 03:00
安南,台南市,90,臭氧,普通,4,.37,109,53,16,14,.74,238,,2014-04-13 03:00
朴子,嘉義縣,60,懸浮微粒,普通,3,.47,58,69,15,18,1.39,150.71,,2014-04-13 03:00
汐止,新北市,69,臭氧,普通,7,.62,83,47,32,39,.51,226.98,,2014-04-13 03:00
竹山,南投縣,87,臭氧,普通,3,.27,105,62,42,11,1.02,234.15,,2014-04-13 03:00
竹東,新竹縣,55,臭氧,普通,2,.39,67,53,38,12,1.51,119.29,,2014-04-13 03:00
西屯,台中市,65,臭氧,普通,3,.27,78,67,54,15,1.37,179.46,,2014-04-13 03:00
沙鹿,台中市,60,臭氧,普通,5,.38,72,59,41,18,1.48,178.67,,2014-04-13 03:00
宜蘭,宜蘭縣,43,臭氧,良好,2,.45,51,39,23,16,.59,224.53,,2014-04-13 03:00
忠明,台中市,65,臭氧,普通,4,.4,78,59,48,17,.76,166.49,,2014-04-13 03:00
松山,台北市,67,臭氧,普通,4,.74,80,47,23,41,1.18,230.23,,2014-04-13 03:00
板橋,新北市,69,臭氧,普通,7,1.01,83,65,48,46,.45,287.86,,2014-04-13 03:00
林口,新北市,61,懸浮微粒,普通,7,.81,62,72,45,50,2.78,191.5,,2014-04-13 03:00
林園,高雄市,37,臭氧,良好,3,.19,45,27,14,6,1.84,35.43,,2014-04-13 03:00
花蓮,花蓮縣,25,懸浮微粒,良好,2,.67,23,25,13,26,2.66,228.49,,2014-04-13 03:00
金門,金門縣,52,臭氧,普通,8,.21,62,48,22,13,2.96,220.64,,2014-04-13 03:00
前金,高雄市,48,懸浮微粒,良好,6,.28,43,48,25,21,1.21,344.92,,2014-04-13 03:00
前鎮,高雄市,37,懸浮微粒,良好,15,.21,33,37,32,29,1.2,73.8,,2014-04-13 03:00
南投,南投縣,84,臭氧,普通,3,.42,100,71,47,18,1.11,139.53,,2014-04-13 03:00
屏東,屏東縣,54,懸浮微粒,普通,3,.42,51,58,34,22,1.04,172.84,,2014-04-13 03:00
恆春,屏東縣,39,臭氧,良好,1,.13,47,31,9,2,3.4,46.83,,2014-04-13 03:00
美濃,高雄市,116,臭氧,不良,3,.35,133,41,7,15,.54,62.44,,2014-04-13 03:00
苗栗,苗栗縣,48,臭氧,良好,3,.42,58,46,46,21,1.72,198.94,,2014-04-13 03:00
埔里,南投縣,71,臭氧,普通,3,.39,85,65,51,14,.7,146.67,,2014-04-13 03:00
桃園,桃園縣,59,懸浮微粒,普通,8,.78,63,68,55,40,.53,106.68,,2014-04-13 03:00
馬公,澎湖縣,48,臭氧,良好,5,.3,58,41,20,16,.95,189.08,,2014-04-13 03:00
馬祖,連江縣,61,臭氧,普通,3,.31,73,55,24,10,5.63,210.34,,2014-04-13 03:00
基隆,基隆市,57,臭氧,普通,5,.62,68,32,18,23,.59,58.7,,2014-04-13 03:00
崙背,雲林縣,56,懸浮微粒,普通,4,.25,59,62,35,9,.97,162.48,,2014-04-13 03:00
淡水,新北市,54,懸浮微粒,普通,6,.56,56,59,42,36,,,,2014-04-13 03:00
麥寮,雲林縣,58,懸浮微粒,普通,3,.3,67,66,26,9,1.18,208.41,,2014-04-13 03:00
善化,台南市,89,臭氧,普通,6,.33,107,46,18,19,.91,96.41,,2014-04-13 03:00
復興,高雄市,37,懸浮微粒,良好,8,.33,41,37,19,20,1.18,119.11,,2014-04-13 03:00
湖口,新竹縣,46,臭氧,良好,4,.38,56,46,41,23,1.86,196.02,,2014-04-13 03:00
菜寮,新北市,56,懸浮微粒,普通,6,.91,46,62,42,56,1.1,135.41,,2014-04-13 03:00
陽明,台北市,56,臭氧,普通,3,.32,67,32,22,7,,,,2014-04-13 03:00
新竹,新竹市,45,懸浮微粒,良好,4,.57,49,45,33,26,.86,190.76,,2014-04-13 03:00
新店,新北市,64,臭氧,普通,3,.72,77,44,22,35,.91,180.28,,2014-04-13 03:00
新莊,新北市,60,臭氧,普通,8,1.23,72,62,50,49,.81,11.72,,2014-04-13 03:00
新港,嘉義縣,53,臭氧,普通,3,.31,64,54,17,14,1.9,148.47,,2014-04-13 03:00
新營,台南市,61,臭氧,普通,4,.39,73,64,27,14,.94,91.02,,2014-04-13 03:00
楠梓,高雄市,53,懸浮微粒,普通,4,.51,49,56,26,30,.65,304.57,,2014-04-13 03:00
萬里,新北市,64,臭氧,普通,5,.34,77,47,29,18,2.13,207.84,,2014-04-13 03:00
萬華,台北市,46,懸浮微粒,良好,6,.97,44,46,23,46,.85,178.48,,2014-04-13 03:00
嘉義,嘉義市,57,臭氧,普通,4,.35,68,50,35,11,.89,102.45,,2014-04-13 03:00
彰化,彰化縣,61,臭氧,普通,4,.38,73,64,48,12,.53,135.99,,2014-04-13 03:00
鳳山,高雄市,52,懸浮微粒,普通,7,.93,32,54,25,36,1.36,95.62,,2014-04-13 03:00
潮州,屏東縣,42,懸浮微粒,良好,2,.22,42,42,19,12,1.23,87.65,,2014-04-13 03:00
線西,彰化縣,54,臭氧,普通,5,.27,65,54,44,6,1.23,187.61,,2014-04-13 03:00
橋頭,高雄市,38,臭氧,良好,4,.47,46,33,16,26,1.61,73.22,,2014-04-13 03:00
頭份,苗栗縣,52,懸浮微粒,普通,5,.4,57,54,35,27,1.24,231.08,,2014-04-13 03:00
龍潭,桃園縣,59,懸浮微粒,普通,3,.44,70,68,23,16,1.22,205.88,,2014-04-13 03:00
豐原,台中市,62,臭氧,普通,4,.48,75,50,40,18,2.34,189.54,,2014-04-13 03:00
關山,台東縣,31,臭氧,良好,1,,37,25,7,6,.45,25.47,,2014-04-13 03:00
觀音,桃園縣,56,懸浮微粒,普通,4,.31,60,61,34,15,3.14,221.72,,2014-04-13 03:00
