SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,97,懸浮微粒,普通,4,.64,43,144,94,29,3.61,37.03,,2014-02-26 11:00
三重,新北市,94,懸浮微粒,普通,7,2.87,,137,77,74,,,,2014-02-26 11:00
三義,苗栗縣,38,懸浮微粒,良好,2,.3,35,38,32,17,3.5,43.65,,2014-02-26 11:00
土城,新北市,73,懸浮微粒,普通,11,1.28,5,96,77,59,1.28,184.62,,2014-02-26 11:00
士林,台北市,64,懸浮微粒,普通,5,1,27,79,49,39,2.34,305.97,,2014-02-26 11:00
大同,台北市,72,懸浮微粒,普通,6,1.95,,93,66,68,,,,2014-02-26 11:00
大里,台中市,75,懸浮微粒,普通,5,1.2,33,100,57,68,2.68,318.05,,2014-02-26 11:00
大園,桃園縣,78,懸浮微粒,普通,8,.69,36,106,41,57,1.76,104.33,,2014-02-26 11:00
大寮,高雄市,72,懸浮微粒,普通,6,.63,80,95,51,39,1.44,250.28,,2014-02-26 11:00
小港,高雄市,72,懸浮微粒,普通,5,.75,64,95,50,49,3.11,269.79,,2014-02-26 11:00
中山,台北市,74,懸浮微粒,普通,6,1.8,8,97,64,66,2.2,307.2,,2014-02-26 11:00
中壢,桃園縣,82,懸浮微粒,普通,8,1.63,24,113,66,60,.8,70.48,,2014-02-26 11:00
仁武,高雄市,75,懸浮微粒,普通,6,.87,60,100,84,81,1.56,318.66,,2014-02-26 11:00
斗六,雲林縣,68,懸浮微粒,普通,4,.52,47,85,58,29,3,313.14,,2014-02-26 11:00
冬山,宜蘭縣,36,懸浮微粒,良好,2,.43,23,36,21,20,2.51,55.5,,2014-02-26 11:00
古亭,台北市,53,懸浮微粒,普通,5,1.44,10,56,59,74,1.38,286.77,,2014-02-26 11:00
台西,雲林縣,87,懸浮微粒,普通,4,.63,51,124,82,25,5.63,29.31,,2014-02-26 11:00
台東,台東縣,33,臭氧,良好,2,.39,39,19,11,9,1.48,147,,2014-02-26 11:00
台南,台南市,28,臭氧,良好,4,.98,33,,67,50,1.2,54.39,,2014-02-26 09:00
左營,高雄市,96,懸浮微粒,普通,6,1.39,90,143,86,66,1.92,285.68,,2014-02-26 11:00
平鎮,桃園縣,76,懸浮微粒,普通,8,.97,24,101,55,58,.91,329.16,,2014-02-26 11:00
永和,新北市,62,懸浮微粒,普通,6,2.94,12,73,84,71,1.06,287.45,,2014-02-26 11:00
安南,台南市,85,懸浮微粒,普通,5,.76,62,120,54,52,2.6,355,,2014-02-26 11:00
朴子,嘉義縣,85,懸浮微粒,普通,3,.76,59,120,63,27,1.78,323.98,,2014-02-26 11:00
汐止,新北市,39,懸浮微粒,良好,6,.93,6,39,,43,2.18,243.55,,2014-02-26 11:00
竹山,南投縣,66,懸浮微粒,普通,4,.63,43,82,,27,3.43,308.21,,2014-02-26 11:00
竹東,新竹縣,56,懸浮微粒,普通,4,.73,35,61,63,47,1.09,1.83,,2014-02-26 11:00
西屯,台中市,88,懸浮微粒,普通,3,1.32,34,125,54,55,3.84,38.11,,2014-02-26 11:00
沙鹿,台中市,78,懸浮微粒,普通,3,.66,35,106,88,43,4.08,32.16,,2014-02-26 11:00
宜蘭,宜蘭縣,32,懸浮微粒,良好,2,.36,34,32,16,10,1.72,63.72,,2014-02-26 11:00
忠明,台中市,82,懸浮微粒,普通,4,1.32,31,115,57,51,2.41,358.39,,2014-02-26 11:00
松山,台北市,47,懸浮微粒,良好,5,1.59,6,47,59,63,1.9,282.96,,2014-02-26 11:00
板橋,新北市,82,懸浮微粒,普通,13,1.42,6,115,84,61,.58,211.5,,2014-02-26 11:00
林口,新北市,58,懸浮微粒,普通,4,.52,23,65,69,55,.66,285.84,,2014-02-26 11:00
林園,高雄市,66,臭氧,普通,5,.55,79,58,47,34,2.23,229.11,,2014-02-26 11:00
花蓮,花蓮縣,28,臭氧,良好,1,.3,34,17,9,7,3.07,158.36,,2014-02-26 11:00
金門,金門縣,82,懸浮微粒,普通,6,.61,30,114,128,33,1.26,39.51,,2014-02-26 11:00
前金,高雄市,78,懸浮微粒,普通,6,1.37,86,105,90,51,2.28,313.33,,2014-02-26 11:00
前鎮,高雄市,73,懸浮微粒,普通,6,1.27,74,96,65,61,2.3,281.12,,2014-02-26 11:00
南投,南投縣,65,懸浮微粒,普通,4,.72,46,80,33,38,2.05,66,,2014-02-26 11:00
屏東,屏東縣,68,懸浮微粒,普通,5,.65,71,85,59,34,1.54,325,,2014-02-26 11:00
恆春,屏東縣,34,臭氧,良好,2,.12,41,27,9,1,4.56,63.49,,2014-02-26 11:00
美濃,高雄市,62,懸浮微粒,普通,2,.42,69,75,49,17,1.48,285.63,,2014-02-26 11:00
苗栗,苗栗縣,62,懸浮微粒,普通,5,.64,28,75,69,30,1.89,41.68,,2014-02-26 11:00
埔里,南投縣,54,懸浮微粒,普通,2,.67,41,58,40,24,1.88,305.83,,2014-02-26 11:00
桃園,桃園縣,76,懸浮微粒,普通,13,1.39,15,103,82,65,.93,324.95,,2014-02-26 11:00
馬公,澎湖縣,54,懸浮微粒,普通,3,.49,54,57,30,37,3.53,55.25,,2014-02-26 11:00
馬祖,連江縣,38,懸浮微粒,良好,5,.33,43,38,35,20,1.59,40.2,,2014-02-26 11:00
基隆,基隆市,43,懸浮微粒,良好,7,.62,30,43,32,37,.96,90.18,,2014-02-26 11:00
崙背,雲林縣,89,懸浮微粒,普通,4,.6,40,128,93,28,3.59,51.46,,2014-02-26 11:00
淡水,新北市,70,懸浮微粒,普通,4,1,45,89,,52,,,,2014-02-26 11:00
麥寮,雲林縣,94,懸浮微粒,普通,3,.77,53,139,103,25,4.37,54.49,,2014-02-26 11:00
善化,台南市,72,懸浮微粒,普通,4,.45,61,93,43,24,2.4,305.95,,2014-02-26 11:00
復興,高雄市,80,懸浮微粒,普通,5,1.59,35,109,61,75,.8,220.72,,2014-02-26 11:00
湖口,新竹縣,72,懸浮微粒,普通,6,.64,38,95,62,44,1.83,47.24,,2014-02-26 11:00
菜寮,新北市,72,懸浮微粒,普通,8,1.5,15,94,73,64,1.72,306.45,,2014-02-26 11:00
陽明,台北市,43,臭氧,良好,2,.18,52,16,10,2,,,,2014-02-26 11:00
新竹,新竹市,74,懸浮微粒,普通,4,.87,27,98,,42,1.06,92.82,,2014-02-26 11:00
新店,新北市,40,懸浮微粒,良好,3,.78,24,40,55,51,1.7,304.33,,2014-02-26 11:00
新莊,新北市,74,懸浮微粒,普通,11,1.62,5,99,79,67,1.9,79.24,,2014-02-26 11:00
新港,嘉義縣,90,懸浮微粒,普通,3,.74,52,129,72,25,2.67,319.29,,2014-02-26 11:00
新營,台南市,77,懸浮微粒,普通,5,.69,54,104,47,25,2.06,9.55,,2014-02-26 11:00
