SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,69,懸浮微粒,普通,6,.43,54,88,49,26,2.46,46.27,,2014-02-27 05:00
三重,新北市,59,懸浮微粒,普通,8,2.09,,68,28,62,,,,2014-02-27 05:00
三義,苗栗縣,44,懸浮微粒,良好,3,.36,50,44,33,26,2.06,21.99,,2014-02-27 05:00
土城,新北市,52,懸浮微粒,普通,9,1.38,44,53,27,52,1.56,270.97,,2014-02-27 05:00
士林,台北市,52,懸浮微粒,普通,7,.85,48,55,25,46,1.87,75.36,,2014-02-27 05:00
大同,台北市,58,懸浮微粒,普通,8,2.01,,65,35,61,,,,2014-02-27 05:00
大里,台中市,49,懸浮微粒,良好,3,.96,45,49,13,45,.62,238.98,,2014-02-27 05:00
大園,桃園縣,52,懸浮微粒,普通,8,.39,46,53,19,64,10.19,45.03,,2014-02-27 05:00
大寮,高雄市,66,懸浮微粒,普通,8,.9,67,82,61,52,.52,246.18,,2014-02-27 05:00
小港,高雄市,72,懸浮微粒,普通,8,1.28,65,95,51,67,1.38,56.94,,2014-02-27 05:00
中山,台北市,60,懸浮微粒,普通,6,1.12,43,69,29,57,1.91,118.59,,2014-02-27 05:00
中壢,桃園縣,73,懸浮微粒,普通,10,1.83,25,96,38,74,1.26,128.48,,2014-02-27 05:00
仁武,高雄市,62,懸浮微粒,普通,7,.7,50,74,51,46,1.33,333.07,,2014-02-27 05:00
斗六,雲林縣,56,懸浮微粒,普通,4,.4,48,62,40,36,1.96,47.83,,2014-02-27 05:00
冬山,宜蘭縣,44,懸浮微粒,良好,2,.32,43,44,30,20,2.08,341.53,,2014-02-27 05:00
古亭,台北市,52,懸浮微粒,普通,6,1.04,41,53,24,59,3.72,75,,2014-02-27 05:00
台西,雲林縣,54,懸浮微粒,普通,5,.32,60,59,42,19,7.49,23.04,,2014-02-27 05:00
台東,台東縣,25,臭氧,良好,1,.39,30,22,10,11,1.28,297.95,,2014-02-27 05:00
台南,台南市,76,懸浮微粒,普通,4,.69,70,103,60,39,2.48,54.43,,2014-02-27 05:00
左營,高雄市,69,懸浮微粒,普通,5,.74,72,88,51,38,1.07,294.57,,2014-02-27 05:00
平鎮,桃園縣,64,懸浮微粒,普通,10,.98,26,78,26,70,2.31,39.47,,2014-02-27 05:00
永和,新北市,44,懸浮微粒,良好,7,1.58,45,44,33,58,3.05,107.55,,2014-02-27 05:00
安南,台南市,74,懸浮微粒,普通,7,.53,67,99,60,38,2.05,41.49,,2014-02-27 05:00
朴子,嘉義縣,74,懸浮微粒,普通,4,.39,49,98,53,18,2.02,50.17,,2014-02-27 05:00
汐止,新北市,45,懸浮微粒,良好,7,.63,38,45,27,45,2.05,49.78,,2014-02-27 05:00
竹山,南投縣,42,懸浮微粒,良好,3,.53,49,42,18,35,.8,164.7,,2014-02-27 05:00
竹東,新竹縣,56,懸浮微粒,普通,4,.55,34,63,44,35,1.02,145.94,,2014-02-27 05:00
西屯,台中市,54,懸浮微粒,普通,4,.42,49,59,42,33,1.38,48.59,,2014-02-27 05:00
沙鹿,台中市,60,懸浮微粒,普通,4,.46,54,71,64,38,2.34,20.87,,2014-02-27 05:00
宜蘭,宜蘭縣,45,懸浮微粒,良好,2,.46,47,45,26,17,2.27,82.04,,2014-02-27 05:00
忠明,台中市,56,懸浮微粒,普通,4,.75,44,61,31,45,.63,162.9,,2014-02-27 05:00
松山,台北市,44,懸浮微粒,良好,5,.84,46,44,23,56,2.27,68.1,,2014-02-27 05:00
板橋,新北市,52,懸浮微粒,普通,11,1.54,46,55,25,65,4.03,71.61,,2014-02-27 05:00
林口,新北市,51,懸浮微粒,普通,6,.67,41,52,31,46,2.47,60.42,,2014-02-27 05:00
林園,高雄市,56,臭氧,普通,7,.66,67,63,41,34,2.97,31.2,,2014-02-27 05:00
花蓮,花蓮縣,31,懸浮微粒,良好,2,.69,28,31,15,26,1.04,283.19,,2014-02-27 05:00
金門,金門縣,78,懸浮微粒,普通,8,.59,37,105,45,34,4.32,79.97,,2014-02-27 05:00
前金,高雄市,68,懸浮微粒,普通,6,.83,70,86,55,41,1.32,341.1,,2014-02-27 05:00
前鎮,高雄市,66,懸浮微粒,普通,7,1.34,70,81,52,63,1.04,30.02,,2014-02-27 05:00
南投,南投縣,49,懸浮微粒,良好,3,.76,29,49,28,38,.76,159.11,,2014-02-27 05:00
