SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,32,懸浮微粒,良好,3.9,.22,8.4,25,30,12,1.8,120,,2014-06-05 06:00
三重,新北市,49,懸浮微粒,良好,2.9,1.17,,51,20,38,,,,2014-06-05 06:00
三義,苗栗縣,39,懸浮微粒,良好,.8,.18,35,32,11,3.2,2,195,,2014-06-05 06:00
土城,新北市,51,懸浮微粒,普通,1.9,.38,8.7,48,30,16,.8,188,,2014-06-05 06:00
士林,臺北市,33,臭氧,良好,1.1,.31,40,24,22,8.8,.6,283,,2014-06-05 06:00
大同,臺北市,54,懸浮微粒,普通,4,.66,,63,13,23,,,,2014-06-05 06:00
大里,臺中市,43,懸浮微粒,良好,1.2,.27,17,40,13,5.7,1.2,193,,2014-06-05 06:00
大園,桃園縣,51,懸浮微粒,普通,3.3,.24,46,53,24,14,2.3,45,,2014-06-05 06:00
大寮,高雄市,60,懸浮微粒,普通,1.4,.4,4.6,78,32,11,.9,52,,2014-06-05 06:00
小港,高雄市,53,懸浮微粒,普通,1.3,.37,14,40,23,13,1.5,61,,2014-06-05 06:00
中山,臺北市,56,懸浮微粒,普通,3.8,.47,20,61,24,20,.6,97,,2014-06-05 06:00
中壢,桃園縣,52,懸浮微粒,普通,5.4,.57,24,54,31,18,1,187,,2014-06-05 06:00
仁武,高雄市,60,懸浮微粒,普通,4.1,.38,17,74,25,13,1.3,92,,2014-06-05 06:00
斗六,雲林縣,28,懸浮微粒,良好,2.2,.2,24,23,13,3.8,1.3,123,,2014-06-05 06:00
冬山,宜蘭縣,47,懸浮微粒,良好,1.7,.41,6.6,50,27,13,.5,249,,2014-06-05 06:00
古亭,臺北市,52,懸浮微粒,普通,1,.41,11,43,19,11,1.3,180,,2014-06-05 06:00
左營,高雄市,43,懸浮微粒,良好,4,.5,17,44,16,19,.7,143,,2014-06-05 06:00
平鎮,桃園縣,49,懸浮微粒,良好,6.4,.35,28,52,29,17,1,189,,2014-06-05 06:00
永和,新北市,38,懸浮微粒,良好,.8,.53,12,38,25,11,.9,177,,2014-06-05 06:00
安南,臺南市,58,懸浮微粒,普通,10,.42,12,85,34,26,1.4,107,,2014-06-05 06:00
朴子,嘉義縣,58,懸浮微粒,普通,1.8,.21,30,71,34,3.8,1.3,145,,2014-06-05 06:00
汐止,新北市,48,懸浮微粒,良好,5,.41,2.3,44,27,20,.8,75,,2014-06-05 06:00
