SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,63,懸浮微粒,普通,-.1,.24,4.6,39,22,13,1.2,87,,2014-05-11 05:00
三重,新北市,56,懸浮微粒,普通,3.1,1.17,,53,17,31,,,,2014-05-11 05:00
三義,苗栗縣,45,懸浮微粒,良好,2.8,.23,40,37,17,5.6,2.4,201,,2014-05-11 05:00
土城,新北市,47,懸浮微粒,良好,2.5,.6,2.2,44,23,16,.7,142,,2014-05-11 05:00
士林,台北市,34,懸浮微粒,良好,1.2,.37,17,29,12,11,1,72,,2014-05-11 05:00
大同,台北市,53,懸浮微粒,普通,2,.94,,48,12,25,,,,2014-05-11 05:00
大里,台中市,43,懸浮微粒,良好,2,.38,5.8,19,4,14,.5,342,,2014-05-11 05:00
大園,桃園縣,59,懸浮微粒,普通,12,.6,6.2,49,25,26,2,153,,2014-05-11 05:00
大寮,高雄市,46,懸浮微粒,良好,20,.34,6.4,56,33,17,1.5,307,,2014-05-11 05:00
小港,高雄市,47,懸浮微粒,良好,1.9,.35,16,48,2,14,1.6,56,,2014-05-11 05:00
中山,台北市,54,懸浮微粒,普通,2.3,.5,12,44,23,21,.7,168,,2014-05-11 05:00
中壢,桃園縣,59,懸浮微粒,普通,2,.61,6.9,50,25,13,.6,176,,2014-05-11 05:00
仁武,高雄市,52,懸浮微粒,普通,3.2,.26,21,44,16,9.4,.8,152,,2014-05-11 05:00
斗六,雲林縣,44,懸浮微粒,良好,3.4,.25,15,43,4,12,.6,118,,2014-05-11 05:00
冬山,宜蘭縣,31,懸浮微粒,良好,1.8,.25,14,24,16,4.4,1.1,136,,2014-05-11 05:00
古亭,台北市,40,懸浮微粒,良好,1.5,.47,6.3,24,10,18,.5,99,,2014-05-11 05:00
台西,雲林縣,50,懸浮微粒,良好,2.9,.47,7,59,40,19,1.2,148,,2014-05-11 05:00
台東,台東縣,21,懸浮微粒,良好,1.2,.24,20,22,8,2.7,.9,293,,2014-05-11 05:00
台南,台南市,52,懸浮微粒,普通,1.9,.27,23,35,12,11,1.9,148,,2014-05-11 05:00
左營,高雄市,52,懸浮微粒,普通,2.3,.38,14,46,13,17,1.5,169,,2014-05-11 05:00
平鎮,桃園縣,56,懸浮微粒,普通,2.9,.4,7.9,51,18,13,1.1,158,,2014-05-11 05:00
永和,新北市,30,懸浮微粒,良好,1.1,.55,7.5,22,17,13,1.2,131,,2014-05-11 05:00
安南,台南市,60,懸浮微粒,普通,4.2,.33,14,59,23,15,1.6,135,,2014-05-11 05:00
朴子,嘉義縣,55,懸浮微粒,普通,4.7,.33,12,67,22,12,1,159,,2014-05-11 05:00
汐止,新北市,40,懸浮微粒,良好,3,.54,2.3,37,18,16,.8,110,,2014-05-11 05:00
竹山,南投縣,40,懸浮微粒,良好,1.3,.22,7.5,38,0,11,.6,247,,2014-05-11 05:00
竹東,新竹縣,52,懸浮微粒,普通,.5,.24,9.7,49,3,6.6,.9,121,,2014-05-11 05:00
西屯,台中市,47,懸浮微粒,良好,1.3,.21,8.3,19,1,10,1,228,,2014-05-11 05:00
沙鹿,台中市,52,懸浮微粒,普通,1.6,.16,18,29,14,6.7,2.4,184,,2014-05-11 05:00
宜蘭,宜蘭縣,39,懸浮微粒,良好,3.3,.37,20,42,23,7.8,.8,192,,2014-05-11 05:00
忠明,台中市,50,懸浮微粒,良好,1.4,.37,3.8,18,8,15,.6,317,,2014-05-11 05:00
松山,台北市,32,懸浮微粒,良好,.7,.64,8.3,20,21,20,.6,140,,2014-05-11 05:00
板橋,新北市,39,懸浮微粒,良好,2.9,.71,.7,35,12,21,.7,291,,2014-05-11 05:00
