SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,24,,良好,2.1,0.2,4.6,32,23,14,1.3,156,,2014-08-23 22:00
三重,新北市,52,懸浮微粒,普通,4,1.74,,46,26,42,,,,2014-08-23 22:00
三義,苗栗縣,33,,良好,3.4,0.23,12,35,21,10,1.1,216,,2014-08-23 22:00
土城,新北市,52,懸浮微粒,普通,5.9,0.76,1.9,59,22,31,0.8,242,,2014-08-23 22:00
士林,臺北市,46,,良好,2.3,0.64,18,40,24,31,1.1,127,,2014-08-23 22:00
大同,臺北市,51,懸浮微粒,普通,4.1,1.46,,43,17,44,,,,2014-08-23 22:00
大里,臺中市,35,,良好,4.7,0.52,3.4,43,28,20,1.3,162,,2014-08-23 22:00
大園,桃園縣,33,,良好,4,0.28,7.8,40,14,22,0.6,42,,2014-08-23 22:00
大寮,高雄市,25,,良好,6.6,0.38,4.1,21,,22,1,193,,2014-08-23 22:00
小港,高雄市,27,,良好,10,0.11,12,24,12,15,1,209,,2014-08-23 22:00
中山,臺北市,54,懸浮微粒,普通,2.4,1.03,2,51,15,40,1.3,1.5,,2014-08-23 22:00
中壢,桃園縣,46,,良好,8.5,1.99,1.1,54,22,32,1,193,,2014-08-23 22:00
仁武,高雄市,26,,良好,1.8,0.11,16,23,9,6.4,1.2,294,,2014-08-23 22:00
斗六,雲林縣,33,,良好,1.5,0.38,4.8,37,12,16,0.7,164,,2014-08-23 22:00
冬山,宜蘭縣,24,,良好,1.6,0.17,3.9,18,8,11,1.5,289,,2014-08-23 22:00
古亭,臺北市,47,,良好,2.1,0.75,2.1,32,15,23,1.7,211,,2014-08-23 22:00
左營,高雄市,24,,良好,0.8,0.18,16,21,6,4.1,0.9,251,,2014-08-23 22:00
平鎮,桃園縣,39,,良好,2.8,0.6,1.4,52,23,25,0.6,301,,2014-08-23 22:00
永和,新北市,45,,良好,2.2,0.99,5.9,44,24,20,1.4,191,,2014-08-23 22:00
安南,臺南市,24,,良好,1.5,0.1,23,19,1,2.5,0.5,184,,2014-08-23 22:00
朴子,嘉義縣,25,,良好,1.8,0.23,9.2,26,10,11,1.1,146,,2014-08-23 22:00
汐止,新北市,42,,良好,4.3,0.58,5,44,28,27,0.8,92,,2014-08-23 22:00
竹山,南投縣,35,,良好,2.4,0.22,15,29,14,9.5,1.3,170,,2014-08-23 22:00
竹東,新竹縣,29,,良好,3.2,0.36,16,37,10,15,1.5,133,,2014-08-23 22:00
西屯,臺中市,27,,良好,2.1,0.2,9,25,8,12,1,205,,2014-08-23 22:00
沙鹿,臺中市,32,,良好,3.5,0.48,4.9,29,18,20,0.9,188,,2014-08-23 22:00
宜蘭,宜蘭縣,31,,良好,1.3,0.45,4.6,32,7,15,1,355,,2014-08-23 22:00
忠明,臺中市,23,,良好,3.6,0.44,6.7,20,14,18,1.2,176,,2014-08-23 22:00
松山,臺北市,52,懸浮微粒,普通,1.5,0.55,4.1,33,10,23,1.6,79,,2014-08-23 22:00
板橋,新北市,41,,良好,6.8,0.96,1.7,42,12,30,1.1,120,,2014-08-23 22:00
林口,新北市,26,,良好,8.4,0.5,3.3,28,20,32,0.7,159,,2014-08-23 22:00
林園,高雄市,19,,良好,3.6,0.09,23,6,9,4,0.9,251,,2014-08-23 22:00
花蓮,花蓮縣,17,,良好,2,0.31,7.1,23,3,10,2.2,233,,2014-08-23 22:00
金門,金門縣,27,,良好,2.6,0.09,21,23,3,7.1,4.2,213,,2014-08-23 22:00
前金,高雄市,21,,良好,1.6,0.26,17,18,8,4.9,1.2,161,,2014-08-23 22:00
前鎮,高雄市,18,,良好,3.5,0.2,11,16,8,12,0.8,281,,2014-08-23 22:00
南投,南投縣,37,,良好,2.1,0.44,4.2,48,21,17,1.8,139,,2014-08-23 22:00
屏東,屏東縣,0,,,3.1,0.33,13,30,10,12,1.9,261,,2014-08-23 19:00
恆春,屏東縣,0,,,,0.02,19,13,1,0.8,3.1,47,,2014-08-23 19:00
美濃,高雄市,21,,良好,1.9,0.19,8.9,15,3,8.8,1,30,,2014-08-23 22:00
苗栗,苗栗縣,24,,良好,2.3,0.44,7.7,33,22,20,1.3,190,,2014-08-23 22:00
埔里,南投縣,34,,良好,3.6,0.42,17,35,25,18,0.8,272,,2014-08-23 22:00
桃園,桃園縣,28,,良好,13,0.95,1.6,40,29,26,0.8,72,,2014-08-23 22:00
馬公,澎湖縣,13,,良好,11,0.23,16,13,8,10,1.3,174,,2014-08-23 22:00
馬祖,連江縣,43,,良好,3,0.06,18,32,10,5.9,3.4,201,,2014-08-23 22:00
基隆,基隆市,18,,良好,1.1,0.44,5.9,14,6,14,0.9,273,,2014-08-23 22:00
