SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,45,懸浮微粒,良好,6.3,0.25,28,60,53,11,3.9,271,,2014-07-03 16:00
三重,新北市,60,懸浮微粒,普通,3.7,0.64,,66,31,34,,,,2014-07-03 16:00
三義,苗栗縣,39,懸浮微粒,良好,5.6,0.21,26,40,20,8.5,2.5,246,,2014-07-03 16:00
土城,新北市,66,臭氧,普通,,,79,42,25,,4.1,322,,2014-07-03 16:00
士林,臺北市,50,懸浮微粒,良好,4.9,0.22,32,50,18,14,3.8,314,,2014-07-03 16:00
大同,臺北市,56,懸浮微粒,普通,4.1,0.9,,62,16,28,,,,2014-07-03 16:00
大里,臺中市,44,懸浮微粒,良好,7.6,0.2,49,45,30,7.3,3.8,90,,2014-07-03 16:00
大園,桃園縣,37,懸浮微粒,良好,2.5,0.1,27,32,16,3.9,3.9,248,,2014-07-03 16:00
大寮,高雄市,27,懸浮微粒,良好,1.1,0.16,24,26,3,6.7,3.4,293,,2014-07-03 16:00
小港,高雄市,33,懸浮微粒,良好,4.1,0.12,17,16,1,5.5,4.7,283,,2014-07-03 16:00
中山,臺北市,62,懸浮微粒,普通,3.3,0.32,37,73,20,19,4.4,27,,2014-07-03 16:00
中壢,桃園縣,52,懸浮微粒,普通,3.8,1.27,24,52,9,27,1.9,163,,2014-07-03 16:00
仁武,高雄市,31,懸浮微粒,良好,1.5,0.1,14,31,18,5.4,3.2,293,,2014-07-03 16:00
斗六,雲林縣,31,懸浮微粒,良好,1.6,0.19,36,24,3,4.8,2.8,277,,2014-07-03 16:00
冬山,宜蘭縣,36,懸浮微粒,良好,1.3,0.16,32,33,25,7.6,2.4,75,,2014-07-03 16:00
古亭,臺北市,50,懸浮微粒,良好,4.3,0.31,47,54,19,20,2.7,53,,2014-07-03 16:00
左營,高雄市,22,懸浮微粒,良好,1.2,0.1,18,26,3,2.8,3.9,307,,2014-07-03 16:00
平鎮,桃園縣,49,懸浮微粒,良好,2.4,0.2,37,48,19,9.1,2.9,262,,2014-07-03 16:00
永和,新北市,42,懸浮微粒,良好,3.5,1.04,32,43,22,37,2.3,65,,2014-07-03 16:00
安南,臺南市,29,懸浮微粒,良好,0.5,0.1,19,23,5,2.4,3.6,285,,2014-07-03 16:00
朴子,嘉義縣,33,懸浮微粒,良好,2.2,0.16,19,26,19,4,3.5,240,,2014-07-03 16:00
汐止,新北市,56,臭氧,普通,5.9,0.25,68,54,30,13,2.3,51,,2014-07-03 16:00
竹山,南投縣,35,臭氧,良好,2.3,0.11,42,34,7,3,2.2,281,,2014-07-03 16:00
竹東,新竹縣,32,懸浮微粒,良好,2.4,0.15,35,35,11,4.7,3.1,261,,2014-07-03 16:00
西屯,臺中市,40,懸浮微粒,良好,3.8,0.1,30,33,14,4.3,2.8,240,,2014-07-03 16:00
沙鹿,臺中市,30,懸浮微粒,良好,1.3,0.1,22,24,18,3.2,2.9,262,,2014-07-03 16:00
宜蘭,宜蘭縣,40,懸浮微粒,良好,2.1,0.19,40,42,17,2.4,2.8,114,,2014-07-03 16:00
忠明,臺中市,33,懸浮微粒,良好,2.7,0.18,34,37,15,9.1,2.4,261,,2014-07-03 16:00
松山,臺北市,0,臭氧,,32,0.31,61,55,42,30,2.5,56,,2014-07-03 16:00
