SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,52,懸浮微粒,普通,15,0.75,47,70,61,29,1.7,355,4,2014-10-25 11:00
三重,新北市,40,,良好,5.2,1.19,,41,17,31,,,2,2014-10-25 11:00
三義,苗栗縣,60,臭氧,普通,2.7,0.35,72,57,35,8.5,1.8,35,3,2014-10-25 11:00
土城,新北市,32,,良好,1.2,0.33,38,24,8,11,2.2,248,1,2014-10-25 11:00
士林,臺北市,35,,良好,4,0.17,42,15,9,8.6,4.6,106,1,2014-10-25 11:00
大同,臺北市,36,,良好,3,0.75,,30,7,28,,,1,2014-10-25 11:00
大里,臺中市,63,臭氧,普通,5.1,1.09,75,86,61,38,1.2,278,5,2014-10-25 11:00
大園,桃園縣,32,,良好,4.4,0.2,34,38,18,22,6.9,45,2,2014-10-25 11:00
大寮,高雄市,68,懸浮微粒,普通,12,0.54,70,91,50,20,1.8,195,5,2014-10-25 11:00
小港,高雄市,72,懸浮微粒,普通,26,0.52,55,108,37,29,2.1,247,4,2014-10-25 11:00
中山,臺北市,36,,良好,2.1,0.48,31,35,10,18,3,100,1,2014-10-25 11:00
中壢,桃園縣,31,,良好,3.6,1.09,23,29,10,29,1.4,220,1,2014-10-25 11:00
仁武,高雄市,76,懸浮微粒,普通,6.3,0.73,67,108,49,28,1.4,292,5,2014-10-25 11:00
斗六,雲林縣,59,臭氧,普通,4.4,0.55,70,74,52,14,1.2,273,5,2014-10-25 11:00
冬山,宜蘭縣,23,,良好,0.8,0.24,21,27,10,9.2,1.1,248,1,2014-10-25 11:00
古亭,臺北市,29,,良好,1.7,0.4,27,30,10,19,3.8,90,2,2014-10-25 11:00
左營,高雄市,71,懸浮微粒,普通,7.1,0.51,83,86,51,11,3.6,279,5,2014-10-25 11:00
平鎮,桃園縣,32,,良好,2.6,0.35,38,19,15,12,2.8,61,1,2014-10-25 11:00
永和,新北市,25,,良好,1.6,0.68,30,16,11,17,3.5,146,1,2014-10-25 11:00
安南,臺南市,63,懸浮微粒,普通,7.2,0.42,53,79,37,16,2.2,294,3,2014-10-25 11:00
朴子,嘉義縣,56,懸浮微粒,普通,5.6,0.33,48,67,34,12,2,43,3,2014-10-25 11:00
汐止,新北市,32,,良好,3,0.2,38,16,12,9.1,3,64,2,2014-10-25 11:00
竹山,南投縣,60,懸浮微粒,普通,4,0.36,65,95,55,12,2.3,307,5,2014-10-25 11:00
竹東,新竹縣,32,,良好,1.6,0.22,31,23,6,9.7,1,62,1,2014-10-25 11:00
西屯,臺中市,55,懸浮微粒,普通,2.3,0.47,62,78,43,13,1.5,49,3,2014-10-25 11:00
沙鹿,臺中市,60,懸浮微粒,普通,4.5,0.52,42,87,45,29,3.1,317,3,2014-10-25 11:00
宜蘭,宜蘭縣,28,,良好,1.5,0.34,34,22,2,11,1.4,61,1,2014-10-25 11:00
忠明,臺中市,58,懸浮微粒,普通,3.7,0.74,53,89,50,33,1.5,206,4,2014-10-25 11:00
松山,臺北市,29,,良好,1.4,0.32,35,18,15,16,2.7,53,2,2014-10-25 11:00
板橋,新北市,27,,良好,2.4,0.43,32,23,10,17,3,78,1,2014-10-25 11:00
林口,新北市,33,,良好,5,0.2,39,13,17,10,3.3,92,2,2014-10-25 11:00
林園,高雄市,76,臭氧,普通,8.4,0.46,91,51,54,10,2.5,225,5,2014-10-25 11:00
花蓮,花蓮縣,20,,良好,5.2,0.34,24,22,8,15,2.4,86,1,2014-10-25 11:00
金門,金門縣,65,懸浮微粒,普通,8.5,0.33,55,111,33,11,3.8,51,3,2014-10-25 11:00
前金,高雄市,70,懸浮微粒,普通,11,0.55,77,94,40,13,2.4,248,4,2014-10-25 11:00
