SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,34,懸浮微粒,良好,2.6,0.12,21,33,28,2.5,3,256,,2014-08-03 18:00
三重,新北市,52,懸浮微粒,普通,4,2.71,,50,47,51,,,,2014-08-03 18:00
三義,苗栗縣,28,懸浮微粒,良好,7.3,0.33,25,29,18,13,1.6,204,,2014-08-03 18:00
土城,新北市,47,懸浮微粒,良好,2.4,0.44,28,39,26,21,1.3,176,,2014-08-03 18:00
士林,臺北市,39,懸浮微粒,良好,2.1,0.41,39,35,20,18,0.8,109,,2014-08-03 18:00
大同,臺北市,52,懸浮微粒,普通,2.8,2.06,,47,20,39,,,,2014-08-03 18:00
大里,臺中市,33,懸浮微粒,良好,3.6,0.19,34,30,,8,2.8,275,,2014-08-03 18:00
大園,桃園縣,42,臭氧,良好,2.7,0.27,51,40,12,10,1.4,145,,2014-08-03 18:00
大寮,高雄市,19,臭氧,良好,0.9,0.1,23,6,0,3.5,2.5,189,,2014-08-03 18:00
小港,高雄市,31,懸浮微粒,良好,5.3,0.14,20,28,3,7.9,2.8,195,,2014-08-03 18:00
中山,臺北市,56,懸浮微粒,普通,1.6,0.97,22,56,24,36,1.5,238,,2014-08-03 18:00
中壢,桃園縣,48,懸浮微粒,良好,2.3,1,36,37,22,27,0.9,221,,2014-08-03 18:00
仁武,高雄市,27,懸浮微粒,良好,3.5,0.17,12,21,7,7.4,4,203,,2014-08-03 18:00
斗六,雲林縣,26,懸浮微粒,良好,1.7,0.25,28,25,8,6.1,2,166,,2014-08-03 18:00
冬山,宜蘭縣,52,懸浮微粒,普通,2.1,0.25,40,51,34,5.1,2.5,242,,2014-08-03 18:00
古亭,臺北市,48,懸浮微粒,良好,1.8,0.92,22,46,18,29,1,195,,2014-08-03 18:00
左營,高雄市,41,懸浮微粒,良好,4.5,0.27,16,38,3,11,3.1,200,,2014-08-03 18:00
平鎮,桃園縣,45,臭氧,良好,0.8,0.35,54,31,22,10,1.1,197,,2014-08-03 18:00
永和,新北市,37,懸浮微粒,良好,2.2,1.23,21,33,28,31,1.2,119,,2014-08-03 18:00
安南,臺南市,25,懸浮微粒,良好,0.6,0.2,21,26,6,4.8,3.5,211,,2014-08-03 18:00
朴子,嘉義縣,30,懸浮微粒,良好,2.5,0.21,23,26,5,4.6,3.4,225,,2014-08-03 18:00
汐止,新北市,40,懸浮微粒,良好,2.4,0.56,13,37,27,32,0.5,297,,2014-08-03 18:00
竹山,南投縣,32,懸浮微粒,良好,2.4,0.13,28,28,6,5.2,1.3,132,,2014-08-03 18:00
竹東,新竹縣,40,臭氧,良好,0.1,0.26,49,29,13,7.2,1.6,127,,2014-08-03 18:00
西屯,臺中市,33,懸浮微粒,良好,3.2,0.1,26,35,14,3.4,1.8,251,,2014-08-03 18:00
沙鹿,臺中市,22,懸浮微粒,良好,1.6,0.14,22,20,10,3.6,2.7,254,,2014-08-03 18:00
宜蘭,宜蘭縣,52,懸浮微粒,普通,1.3,0.27,33,57,16,3.9,1.9,90,,2014-08-03 18:00
忠明,臺中市,27,懸浮微粒,良好,3,0.18,27,28,12,7.8,1.6,246,,2014-08-03 18:00
松山,臺北市,66,懸浮微粒,普通,1.7,0.9,15,36,32,38,0.8,56,,2014-08-03 18:00
板橋,新北市,42,懸浮微粒,良好,2.6,0.47,38,33,19,17,1.3,238,,2014-08-03 18:00
林口,新北市,37,懸浮微粒,良好,3.2,0.4,41,35,27,20,1.4,162,,2014-08-03 18:00
林園,高雄市,23,臭氧,良好,1,0.08,27,8,5,1.8,3.7,191,,2014-08-03 18:00
花蓮,花蓮縣,32,懸浮微粒,良好,1.9,0.2,31,27,15,4.2,1.8,132,,2014-08-03 18:00
金門,金門縣,38,懸浮微粒,良好,3.3,0.13,39,28,15,3.9,3.8,207,,2014-08-03 18:00
前金,高雄市,24,懸浮微粒,良好,4.4,0.21,18,16,8,8.8,2.5,163,,2014-08-03 18:00
前鎮,高雄市,21,懸浮微粒,良好,2.9,0.11,20,12,3,5.4,3,161,,2014-08-03 18:00
南投,南投縣,28,懸浮微粒,良好,1.4,0.18,27,31,10,4,2.4,233,,2014-08-03 18:00
屏東,屏東縣,23,懸浮微粒,良好,1.5,0.31,22,29,0,6.2,3.9,200,,2014-08-03 18:00
恆春,屏東縣,23,臭氧,良好,1.4,0.07,28,22,2,0.8,3.8,186,,2014-08-03 18:00
美濃,高雄市,21,懸浮微粒,良好,1.3,0.14,22,18,9,3,3.1,199,,2014-08-03 18:00
苗栗,苗栗縣,29,懸浮微粒,良好,3.4,0.21,26,28,14,10,1.7,212,,2014-08-03 18:00
埔里,南投縣,34,臭氧,良好,2.2,0.2,41,33,16,6.8,3.1,279,,2014-08-03 18:00
桃園,桃園縣,40,臭氧,良好,3.5,0.38,48,37,23,14,0.6,155,,2014-08-03 18:00
馬公,澎湖縣,16,懸浮微粒,良好,2.1,0.18,14,17,0,5.7,1.4,191,,2014-08-03 18:00
馬祖,連江縣,51,懸浮微粒,普通,1.2,0.12,42,43,20,3.4,3.3,198,,2014-08-03 18:00
基隆,基隆市,35,懸浮微粒,良好,2,0.52,34,34,29,16,0.9,253,,2014-08-03 18:00
崙背,雲林縣,21,懸浮微粒,良好,1.5,0.07,23,13,4,2,3.4,208,,2014-08-03 18:00
淡水,新北市,38,懸浮微粒,良好,3.2,0.28,41,37,20,8.8,,,,2014-08-03 18:00
麥寮,雲林縣,32,懸浮微粒,良好,1.3,0.11,19,32,4,2.5,3.6,229,,2014-08-03 18:00
善化,臺南市,25,懸浮微粒,良好,7.6,0.17,13,21,16,11,4.8,195,,2014-08-03 18:00
復興,高雄市,17,懸浮微粒,良好,3.5,0.24,16,12,1,5.9,1,109,,2014-08-03 18:00
湖口,新竹縣,30,臭氧,良好,2.2,0.17,36,22,26,4,1.5,291,,2014-08-03 18:00
