SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,31,懸浮微粒,良好,1.8,.11,25,29,5,5.8,3.9,262,,2014-05-26 17:00
三重,新北市,52,懸浮微粒,普通,5.6,1.84,,64,17,37,,,,2014-05-26 17:00
三義,苗栗縣,30,懸浮微粒,良好,5.8,.32,26,45,16,12,3.2,205,,2014-05-26 17:00
土城,新北市,41,懸浮微粒,良好,6,.34,24,46,16,20,2.1,223,,2014-05-26 17:00
士林,臺北市,29,懸浮微粒,良好,4,.3,18,29,11,16,4.1,317,,2014-05-26 17:00
大同,臺北市,52,懸浮微粒,普通,4.7,1.38,,58,15,29,,,,2014-05-26 17:00
大里,臺中市,36,懸浮微粒,良好,1.9,.24,30,37,10,8.7,3.9,259,,2014-05-26 17:00
大園,桃園縣,31,懸浮微粒,良好,2.1,.1,27,26,15,5.1,3.8,268,,2014-05-26 17:00
大寮,高雄市,25,懸浮微粒,良好,1.6,.18,16,24,5,7.5,3.2,287,,2014-05-26 17:00
小港,高雄市,36,懸浮微粒,良好,1.9,.13,18,26,5,6.6,3.7,286,,2014-05-26 17:00
中山,臺北市,52,懸浮微粒,普通,2.8,.72,12,65,27,28,2.8,309,,2014-05-26 17:00
中壢,桃園縣,48,懸浮微粒,良好,3.9,1.28,11,37,13,25,1.8,169,,2014-05-26 17:00
仁武,高雄市,39,懸浮微粒,良好,1.6,.14,18,37,10,7.4,2.8,295,,2014-05-26 17:00
斗六,雲林縣,25,懸浮微粒,良好,2.2,.22,24,26,10,5,2.5,256,,2014-05-26 17:00
冬山,宜蘭縣,31,臭氧,良好,2.2,.27,37,27,14,12,2.8,39,,2014-05-26 17:00
古亭,臺北市,39,懸浮微粒,良好,4.6,.54,19,53,18,26,2.4,314,,2014-05-26 17:00
左營,高雄市,40,懸浮微粒,良好,1.8,.13,21,39,4,2.4,2.1,292,,2014-05-26 17:00
平鎮,桃園縣,27,懸浮微粒,良好,4.1,.2,19,21,17,10,3.8,248,,2014-05-26 17:00
永和,新北市,27,懸浮微粒,良好,2,1.08,17,23,17,26,1.5,250,,2014-05-26 17:00
安南,臺南市,33,懸浮微粒,良好,2.3,.12,28,34,15,3.3,3.2,291,,2014-05-26 17:00
朴子,嘉義縣,35,懸浮微粒,良好,1.6,.24,22,31,2,6.6,3.5,244,,2014-05-26 17:00
汐止,新北市,32,懸浮微粒,良好,5.1,.32,20,28,14,17,1.7,289,,2014-05-26 17:00
竹山,南投縣,26,懸浮微粒,良好,1.3,.06,27,22,0,4.2,2.8,271,,2014-05-26 17:00
竹東,新竹縣,33,懸浮微粒,良好,2.4,.2,33,33,10,7.9,2.8,249,,2014-05-26 17:00
西屯,臺中市,24,臭氧,良好,5.6,.12,29,23,23,7.5,3.8,253,,2014-05-26 17:00
沙鹿,臺中市,24,懸浮微粒,良好,2.7,.14,26,23,18,7,3.7,257,,2014-05-26 17:00
宜蘭,宜蘭縣,34,臭氧,良好,1.5,.33,41,26,14,8.4,2.1,59,,2014-05-26 17:00
忠明,臺中市,23,臭氧,良好,2.5,.27,28,20,13,11,2.2,264,,2014-05-26 17:00
松山,臺北市,35,懸浮微粒,良好,4.1,.42,20,38,22,21,1.9,74,,2014-05-26 17:00
板橋,新北市,37,懸浮微粒,良好,5.2,.34,24,38,13,15,3.3,289,,2014-05-26 17:00
