SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,54,懸浮微粒,普通,3.2,.17,49,54,29,3.6,1.9,167,,2014-05-28 10:00
三重,新北市,75,懸浮微粒,普通,5.3,1.58,,104,60,50,,,,2014-05-28 10:00
三義,苗栗縣,50,臭氧,良好,1.9,.36,59,46,28,7.7,3.2,183,,2014-05-28 10:00
土城,新北市,68,懸浮微粒,普通,3,.46,37,65,31,17,1.4,205,,2014-05-28 10:00
士林,臺北市,45,懸浮微粒,良好,4.1,.47,46,50,38,17,3.2,314,,2014-05-28 10:00
大同,臺北市,67,懸浮微粒,普通,5.2,1.51,,88,37,44,,,,2014-05-28 10:00
大里,臺中市,46,臭氧,良好,1.3,.41,55,54,22,8.5,1.9,166,,2014-05-28 10:00
大園,桃園縣,60,懸浮微粒,普通,7.3,.37,42,68,46,18,2.1,286,,2014-05-28 10:00
大寮,高雄市,43,懸浮微粒,良好,7.8,.44,14,47,23,36,1.4,303,,2014-05-28 10:00
小港,高雄市,40,懸浮微粒,良好,4.7,.61,19,52,31,42,.6,29,,2014-05-28 10:00
中山,臺北市,69,懸浮微粒,普通,4.3,1.28,21,91,49,39,2.3,354,,2014-05-28 10:00
中壢,桃園縣,74,懸浮微粒,普通,3.8,1.31,27,86,49,37,.9,152,,2014-05-28 10:00
仁武,高雄市,45,懸浮微粒,良好,2.2,.7,16,37,14,41,.8,261,,2014-05-28 10:00
斗六,雲林縣,47,臭氧,良好,3.8,.37,57,51,33,7.8,1.8,209,,2014-05-28 10:00
冬山,宜蘭縣,50,懸浮微粒,良好,1.9,.3,32,37,23,9.5,1.9,62,,2014-05-28 10:00
古亭,臺北市,61,懸浮微粒,普通,4.5,.92,28,65,28,31,1.9,277,,2014-05-28 10:00
左營,高雄市,43,懸浮微粒,良好,3.4,.75,27,42,13,31,.8,322,,2014-05-28 10:00
平鎮,桃園縣,62,懸浮微粒,普通,4.9,.37,41,67,50,18,2,281,,2014-05-28 10:00
永和,新北市,55,懸浮微粒,普通,2.1,1.65,20,66,39,37,1.7,276,,2014-05-28 10:00
安南,臺南市,52,懸浮微粒,普通,3.2,.47,30,48,33,22,1.4,110,,2014-05-28 10:00
朴子,嘉義縣,61,懸浮微粒,普通,2.1,.31,43,71,36,6.6,2.3,188,,2014-05-28 10:00
汐止,新北市,58,懸浮微粒,普通,5.3,.81,29,66,50,32,2.2,262,,2014-05-28 10:00
