SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,54,懸浮微粒,普通,3,.51,18,76,21,12,.9,199,,2014-05-10 01:00
三重,新北市,55,懸浮微粒,普通,15,2.82,,63,27,48,,,,2014-05-10 01:00
三義,苗栗縣,0,二氧化硫,,,,,64,36,,,,,2014-05-10 01:00
土城,新北市,42,懸浮微粒,良好,8.6,1.13,2.1,46,26,30,.7,163,,2014-05-10 01:00
士林,台北市,45,懸浮微粒,良好,6.9,1.43,1.5,58,20,32,1,152,,2014-05-10 01:00
大同,台北市,49,懸浮微粒,良好,8.5,3.28,,48,14,39,,,,2014-05-10 01:00
大里,台中市,68,懸浮微粒,普通,4.3,.77,3.6,70,39,36,1.2,259,,2014-05-10 01:00
大園,桃園縣,46,懸浮微粒,良好,6.1,.47,20,65,24,15,2.1,196,,2014-05-10 01:00
大寮,高雄市,29,懸浮微粒,良好,2.3,.2,14,26,10,11,1.5,322,,2014-05-10 01:00
小港,高雄市,40,懸浮微粒,良好,2.3,.53,5.3,30,10,26,.9,34,,2014-05-10 01:00
中山,台北市,47,懸浮微粒,良好,5.9,1.58,1.5,36,7,32,.9,139,,2014-05-10 01:00
中壢,桃園縣,66,懸浮微粒,普通,15,1.2,4.2,91,34,40,.8,188,,2014-05-10 01:00
仁武,高雄市,44,懸浮微粒,良好,7.7,.5,4,39,14,28,1.4,90,,2014-05-10 01:00
斗六,雲林縣,66,懸浮微粒,普通,4.2,.69,3.6,79,44,28,1.1,187,,2014-05-10 01:00
冬山,宜蘭縣,30,懸浮微粒,良好,2,.34,9.1,24,13,8,.6,256,,2014-05-10 01:00
古亭,台北市,39,懸浮微粒,良好,2,.86,1.9,34,0,20,.7,149,,2014-05-10 01:00
台西,雲林縣,38,懸浮微粒,良好,1.6,.21,40,32,15,4,2.1,146,,2014-05-10 01:00
台東,台東縣,19,懸浮微粒,良好,1.4,.17,13,16,5,2.3,1.2,286,,2014-05-10 01:00
台南,台南市,38,懸浮微粒,良好,3,.43,19,29,9,20,1.1,93,,2014-05-10 01:00
左營,高雄市,46,懸浮微粒,良好,10,.68,4.2,42,16,27,1.5,86,,2014-05-10 01:00
