SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,66,懸浮微粒,普通,5,.38,78,83,67,19,1.67,123.64,,2014-03-28 23:00
三重,新北市,82,懸浮微粒,普通,4,2.43,,113,83,63,,,,2014-03-28 23:00
三義,苗栗縣,61,懸浮微粒,普通,4,.49,45,72,75,22,.79,198.76,,2014-03-28 23:00
土城,新北市,76,臭氧,普通,8,1.11,92,94,85,53,.89,165.05,,2014-03-28 23:00
士林,台北市,75,懸浮微粒,普通,3,.8,63,100,64,46,1.15,220.75,,2014-03-28 23:00
大同,台北市,72,懸浮微粒,普通,4,1.99,,95,64,54,,,,2014-03-28 23:00
大里,台中市,64,懸浮微粒,普通,4,.78,62,77,48,36,1.16,173.23,,2014-03-28 23:00
大園,桃園縣,74,懸浮微粒,普通,8,.54,54,97,74,40,2.23,163.43,,2014-03-28 23:00
大寮,高雄市,47,懸浮微粒,良好,4,.14,36,47,7,6,3.5,170.48,,2014-03-28 23:00
小港,高雄市,60,懸浮微粒,普通,16,1.06,49,70,16,28,3.31,170.36,,2014-03-28 23:00
中山,台北市,74,懸浮微粒,普通,3,1.54,67,98,65,57,1.24,118.7,,2014-03-28 23:00
中壢,桃園縣,84,懸浮微粒,普通,6,1.84,33,118,89,54,1.29,185.41,,2014-03-28 23:00
仁武,高雄市,45,懸浮微粒,良好,9,.45,53,45,20,22,3.36,178.09,,2014-03-28 23:00
斗六,雲林縣,70,懸浮微粒,普通,4,.46,75,90,53,16,.42,58.97,,2014-03-28 23:00
冬山,宜蘭縣,34,臭氧,良好,3,.3,41,26,10,17,1.64,239.33,,2014-03-28 23:00
古亭,台北市,67,懸浮微粒,普通,4,1.35,68,84,54,54,1.38,103.35,,2014-03-28 23:00
台西,雲林縣,71,臭氧,普通,6,.31,86,65,64,18,2.19,144.93,,2014-03-28 23:00
台東,台東縣,22,臭氧,良好,1,.64,27,17,6,13,.55,310.1,,2014-03-28 23:00
台南,台南市,56,臭氧,普通,4,.32,67,43,20,14,.85,40.02,,2014-03-28 23:00
左營,高雄市,52,懸浮微粒,普通,5,.4,53,55,24,18,3.72,172.66,,2014-03-28 23:00
