SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,27,,良好,3.9,0.22,8.7,31,33,12,1.2,66,,2014-09-14 05:00
三重,新北市,32,,良好,7.7,0.59,,34,29,22,,,,2014-09-14 05:00
三義,苗栗縣,28,,良好,3,0.26,5.5,29,17,12,3.1,40,,2014-09-14 05:00
土城,新北市,25,,良好,2,0.13,23,18,5,6.4,1.8,287,,2014-09-14 05:00
士林,臺北市,27,,良好,8.5,0.12,33,24,14,6.3,2.2,107,,2014-09-14 05:00
大同,臺北市,36,,良好,8.2,0.45,,37,9,15,,,,2014-09-14 05:00
大里,臺中市,24,,良好,2.8,0.22,6.9,20,20,7.1,1.2,168,,2014-09-14 05:00
大園,桃園縣,28,,良好,4,0.1,22,34,10,6.6,5.9,51,,2014-09-14 05:00
大寮,高雄市,47,,良好,1.8,0.39,8.4,55,27,9.1,0.6,246,,2014-09-14 05:00
小港,高雄市,54,懸浮微粒,普通,2.6,0.38,21,48,36,9.7,0.9,51,,2014-09-14 05:00
中山,臺北市,30,,良好,8.8,0.19,36,35,13,9.7,2.4,118,,2014-09-14 05:00
中壢,桃園縣,31,,良好,5.3,0.21,15,32,13,9.2,2.1,161,,2014-09-14 05:00
仁武,高雄市,50,,良好,7.1,0.3,4,44,24,18,1,313,,2014-09-14 05:00
斗六,雲林縣,31,,良好,1.8,0.22,2.2,26,15,9.3,0.6,117,,2014-09-14 05:00
冬山,宜蘭縣,28,,良好,1.3,0.21,8.4,24,15,6.5,0.8,257,,2014-09-14 05:00
古亭,臺北市,27,,良好,2.8,0.2,29,27,11,7.2,2.7,77,,2014-09-14 05:00
左營,高雄市,45,,良好,5.8,0.28,6,51,22,15,1.3,309,,2014-09-14 05:00
平鎮,桃園縣,29,,良好,3.1,0.17,18,32,16,7.3,4.3,54,,2014-09-14 05:00
永和,新北市,22,,良好,0.7,0.25,27,18,9,6.7,2.6,137,,2014-09-14 05:00
