SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,32,,良好,1.1,0.12,28,30,17,5.6,3.2,42,2,2014-10-10 06:00
三重,新北市,52,懸浮微粒,普通,1.9,0.63,,50,19,24,,,3,2014-10-10 06:00
三義,苗栗縣,25,,良好,1.3,0.12,30,20,13,4.7,6.6,45,2,2014-10-10 06:00
土城,新北市,45,,良好,1.4,0.18,33,44,12,5.3,1.6,251,2,2014-10-10 06:00
士林,臺北市,32,,良好,1.9,0.11,38,34,15,2.4,1.8,55,2,2014-10-10 06:00
大同,臺北市,47,,良好,1.7,0.28,,42,4,7.9,,,1,2014-10-10 06:00
大里,臺中市,16,,良好,2.2,0.33,7.2,17,14,15,0.6,95,1,2014-10-10 06:00
大園,桃園縣,50,,良好,2.1,0.12,39,48,17,5.7,8.1,36,2,2014-10-10 06:00
大寮,高雄市,80,懸浮微粒,普通,2.2,0.67,19,113,73,19,0.7,253,10,2014-10-10 06:00
小港,高雄市,74,懸浮微粒,普通,3.9,0.59,45,86,63,15,1.2,52,8,2014-10-10 06:00
中山,臺北市,50,,良好,0.9,0.16,34,50,10,5.7,2.7,62,2,2014-10-10 06:00
中壢,桃園縣,43,,良好,2.7,0.22,28,42,15,8.7,2.4,97,2,2014-10-10 06:00
仁武,高雄市,90,懸浮微粒,普通,5.3,0.63,31,131,65,20,0.7,82,9,2014-10-10 06:00
斗六,雲林縣,34,,良好,2.3,0.38,6.4,32,16,17,0.9,32,2,2014-10-10 06:00
冬山,宜蘭縣,42,,良好,0.1,0.13,34,40,19,4,2.3,322,2,2014-10-10 06:00
古亭,臺北市,44,,良好,1.3,0.15,33,39,13,4.1,2.2,57,2,2014-10-10 06:00
左營,高雄市,70,懸浮微粒,普通,3.9,0.67,8.7,87,43,24,1,359,5,2014-10-10 06:00
平鎮,桃園縣,39,,良好,1.1,0.18,32,42,15,8.2,5.6,44,2,2014-10-10 06:00
永和,新北市,30,,良好,1.5,0.28,32,24,16,6.9,2.1,69,2,2014-10-10 06:00
安南,臺南市,52,懸浮微粒,普通,3.7,0.35,1.1,36,11,21,1.5,52,2,2014-10-10 06:00
朴子,嘉義縣,48,,良好,1.4,0.25,8.3,37,0,12,1.4,32,1,2014-10-10 06:00
汐止,新北市,41,,良好,2.4,0.14,36,37,14,4.6,2.7,73,2,2014-10-10 06:00
竹山,南投縣,46,,良好,2,0.26,8.7,40,22,13,0.9,327,2,2014-10-10 06:00
竹東,新竹縣,29,,良好,1.9,0.14,30,33,0,4.8,3.3,53,1,2014-10-10 06:00
西屯,臺中市,26,,良好,2.2,0.17,22,25,9,8.9,1.4,38,1,2014-10-10 06:00
沙鹿,臺中市,34,,良好,1.3,0.11,31,32,18,5.1,5.9,68,2,2014-10-10 06:00
宜蘭,宜蘭縣,39,,良好,1.2,0.14,21,35,10,2,1.3,230,1,2014-10-10 06:00
忠明,臺中市,17,,良好,2.2,0.16,21,13,14,9,0.8,52,2,2014-10-10 06:00
松山,臺北市,34,,良好,2.5,0.13,41,28,21,2.1,2.6,53,2,2014-10-10 06:00
板橋,新北市,36,,良好,1.4,0.18,31,32,11,,3,50,2,2014-10-10 06:00
林口,新北市,34,,良好,1.8,0.11,41,22,11,0.7,4,59,2,2014-10-10 06:00
林園,高雄市,58,懸浮微粒,普通,2.7,0.59,35,71,72,9.5,1.4,65,9,2014-10-10 06:00
花蓮,花蓮縣,18,,良好,1.2,0.16,18,16,9,4.3,1.8,152,1,2014-10-10 06:00
金門,金門縣,53,懸浮微粒,普通,6.7,0.23,33,66,28,10,2.6,50,2,2014-10-10 06:00
前金,高雄市,83,懸浮微粒,普通,4.4,0.74,27,130,66,16,1.8,309,7,2014-10-10 06:00
前鎮,高雄市,71,懸浮微粒,普通,4.4,0.64,56,93,68,18,0.9,46,8,2014-10-10 06:00
南投,南投縣,40,,良好,1.4,0.37,1.3,37,16,11,1,220,2,2014-10-10 06:00
屏東,屏東縣,74,懸浮微粒,普通,2,0.51,28,81,58,12,1.3,304,9,2014-10-10 06:00
恆春,屏東縣,29,,良好,1.2,0.07,22,26,5,1.2,2.7,359,1,2014-10-10 06:00
美濃,高雄市,70,懸浮微粒,普通,2.3,0.54,34,81,44,8.6,0.4,39,6,2014-10-10 06:00
苗栗,苗栗縣,31,,良好,4.1,0.15,28,32,15,9.7,4.5,34,2,2014-10-10 06:00
埔里,南投縣,40,,良好,3.1,0.34,10,37,25,11,1.1,306,3,2014-10-10 06:00
桃園,桃園縣,29,,良好,1.1,0.14,35,23,17,3.9,1.6,67,2,2014-10-10 06:00
馬公,澎湖縣,51,懸浮微粒,普通,2.4,0.12,40,54,21,0.7,7.4,86,2,2014-10-10 06:00
馬祖,連江縣,48,,良好,2.4,0.16,44,46,22,2.9,6,61,2,2014-10-10 06:00
基隆,基隆市,42,,良好,1.2,0.16,40,40,18,1.5,1.2,110,2,2014-10-10 06:00
崙背,雲林縣,33,,良好,1.8,0.16,19,30,17,5.4,2.2,281,2,2014-10-10 06:00
淡水,新北市,48,,良好,1.3,0.11,39,49,15,1.1,,,2,2014-10-10 06:00
麥寮,雲林縣,54,懸浮微粒,普通,2.1,0.15,26,48,22,5.8,3.9,64,2,2014-10-10 06:00
善化,臺南市,52,懸浮微粒,普通,2.9,0.35,0.9,29,18,16,1.3,30,3,2014-10-10 06:00
復興,高雄市,0,,,3.5,0.6,51,,61,14,0.9,110,7,2014-10-10 06:00
湖口,新竹縣,39,,良好,1.9,0.15,38,42,1,3,5.8,44,1,2014-10-10 06:00
菜寮,新北市,35,,良好,1.7,0.17,32,32,21,5.1,3.2,46,2,2014-10-10 06:00
陽明,臺北市,31,,良好,1.4,0.1,37,6,5,1.2,,,1,2014-10-10 06:00
新竹,新竹市,30,,良好,0.6,0.15,35,29,16,4.8,3.7,70,2,2014-10-10 06:00
新店,新北市,38,,良好,1.3,0.15,37,33,12,2.9,1.2,55,2,2014-10-10 06:00
新莊,新北市,31,,良好,2,0.16,30,27,10,7.8,5.4,33,2,2014-10-10 06:00
新港,嘉義縣,35,,良好,2.6,0.38,1,28,15,18,1.1,309,2,2014-10-10 06:00
新營,臺南市,50,,良好,2.4,0.43,0.7,45,14,17,0.8,31,2,2014-10-10 06:00
楠梓,高雄市,83,懸浮微粒,普通,4.2,0.56,26,119,60,21,1.2,334,8,2014-10-10 06:00
萬里,新北市,78,懸浮微粒,普通,2.8,0.1,40,100,27,3.6,10,26,3,2014-10-10 06:00
萬華,臺北市,37,,良好,1.1,0.18,33,31,7,6.7,2,73,2,2014-10-10 06:00
嘉義,嘉義市,52,懸浮微粒,普通,2.1,0.41,6.1,48,14,12,1.1,100,2,2014-10-10 06:00
彰化,彰化縣,27,,良好,2.4,0.25,16,23,20,12,1.5,40,2,2014-10-10 06:00
臺西,雲林縣,44,,良好,2.7,0.18,28,42,27,8.5,6.1,28,3,2014-10-10 06:00
臺東,臺東縣,28,,良好,1,0.14,19,29,9,1.6,2.4,294,1,2014-10-10 06:00
臺南,臺南市,52,懸浮微粒,普通,4.5,0.41,4.4,42,19,27,1.8,56,2,2014-10-10 06:00
鳳山,高雄市,0,,,6.7,0.97,77,96,42,30,1,277,,2014-10-09 18:00
潮州,屏東縣,66,懸浮微粒,普通,2.4,0.34,35,54,39,6.4,0.4,159,6,2014-10-10 06:00
線西,彰化縣,30,,良好,1.6,0.14,30,27,10,5.5,5.3,43,2,2014-10-10 06:00
橋頭,高雄市,72,懸浮微粒,普通,2.4,0.53,21,93,57,16,1.5,48,6,2014-10-10 06:00
頭份,苗栗縣,37,,良好,1.5,0.16,35,40,23,6.9,3.4,59,3,2014-10-10 06:00
龍潭,桃園縣,38,,良好,2.2,0.2,28,38,11,,3.2,58,2,2014-10-10 06:00
豐原,臺中市,19,,良好,1.9,0.13,23,16,7,3.8,1.9,65,1,2014-10-10 06:00
關山,臺東縣,14,,良好,1.4,,14,12,5,1.3,2.7,72,1,2014-10-10 06:00
觀音,桃園縣,52,懸浮微粒,普通,5,0.14,34,50,13,4.7,8.7,69,2,2014-10-10 06:00
