SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,41,,良好,2.5,0.22,37,33,17,8.8,5,91,3,2014-12-08 10:00
三重,新北市,42,,良好,2.8,1.71,,56,8,40,,,1,2014-12-08 10:00
三義,苗栗縣,28,,良好,1.5,0.26,33,23,10,10,3.7,41,2,2014-12-08 10:00
土城,新北市,25,,良好,2.3,0.5,27,29,20,22,1.8,234,2,2014-12-08 10:00
士林,臺北市,28,,良好,2.4,0.31,34,24,11,14,2.7,104,1,2014-12-08 10:00
大同,臺北市,36,,良好,2.9,1.18,,38,11,37,,,1,2014-12-08 10:00
大里,臺中市,53,懸浮微粒,普通,1.9,0.45,32,40,17,14,1.7,299,3,2014-12-08 10:00
大園,桃園縣,43,,良好,6.6,0.37,21,60,19,31,13,53,2,2014-12-08 10:00
大寮,高雄市,73,懸浮微粒,普通,7,0.69,23,105,57,35,1.7,296,8,2014-12-08 10:00
小港,高雄市,81,懸浮微粒,普通,7.5,0.83,29,126,53,41,2.3,301,7,2014-12-08 10:00
中山,臺北市,38,,良好,2.5,0.81,18,30,18,31,2.1,87,2,2014-12-08 10:00
中壢,桃園縣,0,,,2.7,0.49,21,54,13,26,1.9,98,,2014-12-08 10:00
仁武,高雄市,77,懸浮微粒,普通,11,0.58,23,111,62,26,1.9,307,8,2014-12-08 10:00
斗六,雲林縣,58,懸浮微粒,普通,2.9,0.36,24,64,27,12,2,35,4,2014-12-08 10:00
冬山,宜蘭縣,35,,良好,1.9,0.29,24,21,10,14,2.6,287,2,2014-12-08 10:00
古亭,臺北市,29,,良好,1.8,0.47,25,33,17,22,3,66,2,2014-12-08 10:00
左營,高雄市,71,懸浮微粒,普通,3.9,0.61,30,93,53,20,2.7,301,7,2014-12-08 10:00
平鎮,桃園縣,46,,良好,3.3,0.35,24,56,18,21,4.2,207,2,2014-12-08 10:00
永和,新北市,23,,良好,2,0.67,28,18,10,21,3.8,85,2,2014-12-08 10:00
安南,臺南市,66,懸浮微粒,普通,2.4,0.3,26,74,28,11,3.3,32,4,2014-12-08 10:00
朴子,嘉義縣,55,懸浮微粒,普通,2.1,0.22,35,52,29,6.7,3.2,323,2,2014-12-08 10:00
汐止,新北市,30,,良好,2.8,0.29,36,26,19,12,3.1,71,2,2014-12-08 10:00
竹山,南投縣,54,懸浮微粒,普通,2.7,0.37,27,57,32,11,1.4,272,3,2014-12-08 10:00
竹東,新竹縣,37,,良好,,0.21,42,26,13,8.2,8.9,60,2,2014-12-08 10:00
西屯,臺中市,40,,良好,1.8,0.23,32,31,14,9.3,4.5,293,2,2014-12-08 10:00
沙鹿,臺中市,35,,良好,1.8,0.23,36,28,10,11,6.4,32,2,2014-12-08 10:00
宜蘭,宜蘭縣,35,,良好,1.1,0.32,30,33,20,10,1.4,75,2,2014-12-08 10:00
忠明,臺中市,30,,良好,1.9,0.36,28,17,13,15,1.9,310,2,2014-12-08 10:00
松山,臺北市,25,,良好,2.5,0.38,30,23,14,19,3.1,58,1,2014-12-08 10:00
板橋,新北市,25,,良好,2.2,0.52,23,28,19,25,3.1,72,2,2014-12-08 10:00
林口,新北市,27,,良好,1.6,0.24,33,28,,11,2.8,59,,2014-12-08 10:00
林園,高雄市,58,懸浮微粒,普通,18,0.54,35,76,55,22,1.2,59,6,2014-12-08 10:00
花蓮,花蓮縣,25,,良好,2.8,0.45,13,43,13,14,1.4,238,1,2014-12-08 10:00
金門,金門縣,70,懸浮微粒,普通,7.4,0.46,36,71,33,12,4.8,63,4,2014-12-08 10:00
前金,高雄市,76,懸浮微粒,普通,3.8,0.83,24,97,56,22,2.7,44,6,2014-12-08 09:00
前鎮,高雄市,74,懸浮微粒,普通,3.5,0.81,29,101,74,29,2.3,27,9,2014-12-08 10:00
南投,南投縣,60,懸浮微粒,普通,2.2,0.65,25,67,35,13,1.2,110,4,2014-12-08 10:00
屏東,屏東縣,58,懸浮微粒,普通,2.3,0.51,30,67,29,13,1.5,298,4,2014-12-08 10:00
恆春,屏東縣,35,,良好,3.1,0.13,42,37,36,1.6,11,32,2,2014-12-08 10:00
美濃,高雄市,56,懸浮微粒,普通,1.2,0.34,27,50,24,8.7,0.7,150,3,2014-12-08 10:00
苗栗,苗栗縣,28,,良好,2.6,0.32,34,22,13,13,5.7,43,2,2014-12-08 10:00
埔里,南投縣,50,,良好,2.1,0.67,22,51,33,17,1.2,146,4,2014-12-08 10:00
桃園,桃園縣,24,,良好,1.5,0.44,19,27,18,24,1.2,68,2,2014-12-08 10:00
馬公,澎湖縣,38,,良好,1.1,0.22,45,39,15,1.9,7.2,81,2,2014-12-08 10:00
馬祖,連江縣,58,懸浮微粒,普通,6.6,0.43,34,86,42,12,6.4,55,3,2014-12-08 10:00
基隆,基隆市,34,,良好,1.2,0.27,41,31,23,5.7,1.3,88,2,2014-12-08 10:00
崙背,雲林縣,41,,良好,0.3,0.32,32,32,15,8.6,4.1,356,2,2014-12-08 10:00
淡水,新北市,31,,良好,2.3,0.28,36,38,20,5.6,,,2,2014-12-08 10:00
麥寮,雲林縣,57,懸浮微粒,普通,6.3,0.32,33,77,19,14,6.3,89,2,2014-12-08 10:00
善化,臺南市,59,懸浮微粒,普通,3.9,0.32,23,56,45,12,4.4,30,4,2014-12-08 10:00
復興,高雄市,84,懸浮微粒,普通,5.1,1.16,2.4,120,63,34,1,163,9,2014-12-08 10:00
湖口,新竹縣,32,,良好,2.4,0.29,39,37,13,7.6,8.3,47,1,2014-12-08 10:00
菜寮,新北市,25,,良好,1.7,0.42,30,22,15,15,3.7,73,2,2014-12-08 10:00
陽明,臺北市,35,,良好,2,0.25,42,6,5,2.7,,,1,2014-12-08 10:00
新竹,新竹市,34,,良好,1.4,0.29,39,45,16,8.8,6.3,64,2,2014-12-08 10:00
新店,新北市,23,,良好,3.2,0.35,27,16,16,22,2.5,67,2,2014-12-08 10:00
新莊,新北市,21,,良好,2.2,0.58,23,22,15,24,4,80,2,2014-12-08 10:00
新港,嘉義縣,58,懸浮微粒,普通,2.2,0.3,31,47,19,9.1,3.5,325,3,2014-12-08 10:00
新營,臺南市,64,懸浮微粒,普通,2.7,0.35,23,55,36,16,3.3,43,5,2014-12-08 10:00
楠梓,高雄市,82,懸浮微粒,普通,3.5,0.49,30,117,57,17,2.2,318,6,2014-12-08 10:00
萬里,新北市,70,懸浮微粒,普通,2.4,0.27,40,145,19,7.2,8.4,50,2,2014-12-08 10:00
萬華,臺北市,25,,良好,2.3,0.51,20,17,9,28,3.1,98,1,2014-12-08 10:00
嘉義,嘉義市,62,懸浮微粒,普通,2.9,0.46,24,54,51,18,2.6,353,5,2014-12-08 10:00
彰化,彰化縣,43,,良好,2,0.37,30,28,14,14,3.1,324,2,2014-12-08 10:00
臺西,雲林縣,47,,良好,2,0.22,43,56,15,7.1,12,29,2,2014-12-08 10:00
臺東,臺東縣,21,,良好,1,0.42,21,24,10,6.9,1.6,312,1,2014-12-08 10:00
臺南,臺南市,62,懸浮微粒,普通,2.4,0.45,25,62,30,16,3,32,4,2014-12-08 10:00
鳳山,高雄市,81,懸浮微粒,普通,7.9,0.68,26,103,49,31,2.4,311,6,2014-12-08 10:00
潮州,屏東縣,50,,良好,9.7,0.34,21,34,31,12,1,282,3,2014-12-08 10:00
線西,彰化縣,33,,良好,2.1,0.24,37,34,14,10,7,42,2,2014-12-08 10:00
橋頭,高雄市,76,懸浮微粒,普通,3.7,0.51,28,104,54,16,2.7,321,8,2014-12-08 10:00
頭份,苗栗縣,34,,良好,1.9,0.27,39,38,17,12,4.9,73,2,2014-12-08 10:00
龍潭,桃園縣,30,,良好,1.6,0.35,36,31,14,14,7.3,78,2,2014-12-08 10:00
豐原,臺中市,33,,良好,0.8,0.22,35,35,24,6.4,3.3,318,2,2014-12-08 10:00
關山,臺東縣,23,,良好,1.3,,16,26,14,7,1.8,51,2,2014-12-08 10:00
觀音,桃園縣,46,,良好,9.2,0.31,30,45,13,13,10,68,1,2014-12-08 10:00
