SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,35,懸浮微粒,良好,,,,42,33,,2.4,312,,2014-07-21 12:00
三重,新北市,30,懸浮微粒,良好,2.3,0.82,,27,5,14,,,,2014-07-21 12:00
三義,苗栗縣,57,臭氧,普通,2.8,0.25,69,46,32,7.1,2.6,293,,2014-07-21 12:00
土城,新北市,16,懸浮微粒,良好,0.9,0.14,16,17,2,4.6,2.8,136,,2014-07-21 12:00
士林,臺北市,15,臭氧,良好,1.6,0.13,18,16,8,5,4.7,108,,2014-07-21 12:00
大同,臺北市,31,懸浮微粒,良好,2.1,0.74,,37,10,14,,,,2014-07-21 12:00
大里,臺中市,54,臭氧,普通,4.9,0.36,64,49,8,13,,,,2014-07-21 12:00
大園,桃園縣,33,懸浮微粒,良好,1.6,0.12,22,57,8,9.4,8.7,85,,2014-07-21 12:00
大寮,高雄市,45,懸浮微粒,良好,20,0.53,43,49,23,20,2.1,240,,2014-07-21 12:00
小港,高雄市,0,臭氧,,7.2,0.17,49,42,13,12,3.7,268,,2014-07-21 12:00
中山,臺北市,29,懸浮微粒,良好,1.2,0.22,9.2,35,9,6.1,4.2,112,,2014-07-21 12:00
中壢,桃園縣,32,懸浮微粒,良好,2.8,0.97,9.6,37,12,15,2.7,239,,2014-07-21 12:00
仁武,高雄市,49,懸浮微粒,良好,4.4,0.19,58,37,18,11,2.4,296,,2014-07-21 12:00
斗六,雲林縣,53,臭氧,普通,2.9,0.25,64,50,25,2.7,1.3,234,,2014-07-21 12:00
冬山,宜蘭縣,27,懸浮微粒,良好,3.9,0.1,16,24,0,5.2,5.1,120,,2014-07-21 12:00
古亭,臺北市,25,懸浮微粒,良好,1,0.16,14,28,8,4.9,5.7,109,,2014-07-21 12:00
左營,高雄市,55,臭氧,普通,4.3,0.18,66,40,20,4.2,2.7,281,,2014-07-21 12:00
平鎮,桃園縣,31,懸浮微粒,良好,2.9,0.17,19,35,5,7,6.4,93,,2014-07-21 12:00
永和,新北市,13,臭氧,良好,1.7,0.22,15,11,10,3.7,4.9,125,,2014-07-21 12:00
安南,臺南市,40,懸浮微粒,良好,1,0.1,40,38,20,2.9,3.1,254,,2014-07-21 12:00
朴子,嘉義縣,48,懸浮微粒,良好,2.6,0.28,50,48,19,5.7,2.8,250,,2014-07-21 12:00
汐止,新北市,14,臭氧,良好,2.8,0.1,16,12,6,4,4.1,84,,2014-07-21 12:00
竹山,南投縣,53,臭氧,普通,1.1,0.15,63,32,15,3.8,1.8,295,,2014-07-21 12:00
竹東,新竹縣,48,臭氧,良好,1.8,0.17,57,27,11,4.3,1.8,244,,2014-07-21 12:00
西屯,臺中市,61,臭氧,普通,4.9,0.22,73,54,35,9.5,2.6,297,,2014-07-21 12:00
沙鹿,臺中市,0,二氧化硫,,2.5,0.24,51,44,23,7.6,2.7,2.7,,2014-07-21 10:00
宜蘭,宜蘭縣,29,懸浮微粒,良好,-0.3,0.17,20,24,2,2.8,3.8,108,,2014-07-21 12:00
