SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,39,,良好,4.3,0.15,47,31,17,2.6,1,310,,2014-08-05 19:00
三重,新北市,54,懸浮微粒,普通,4.7,3.69,,61,21,60,,,,2014-08-05 19:00
三義,苗栗縣,18,,良好,1,0.18,21,11,5,9.9,0.5,100,,2014-08-05 19:00
土城,新北市,36,,良好,2.9,1.02,19,49,18,40,1.3,158,,2014-08-05 19:00
士林,臺北市,32,,良好,3.8,0.61,38,39,11,26,1.7,120,,2014-08-05 19:00
大同,臺北市,48,,良好,4.3,1.43,,48,18,44,,,,2014-08-05 19:00
大里,臺中市,20,,良好,4.9,0.51,20,24,23,21,2.1,281,,2014-08-05 19:00
大園,桃園縣,31,,良好,3.9,0.26,27,33,15,20,1.6,38,,2014-08-05 19:00
大寮,高雄市,20,,良好,1.6,0.35,14,27,4,13,1.5,129,,2014-08-05 19:00
小港,高雄市,34,,良好,2.9,0.44,20,35,0,20,2.4,63,,2014-08-05 19:00
中山,臺北市,53,懸浮微粒,普通,3.2,1.45,6.8,58,21,43,1.3,73,,2014-08-05 19:00
中壢,桃園縣,41,,良好,3.5,1.25,15,47,22,31,0.7,14,,2014-08-05 19:00
仁武,高雄市,31,,良好,3,0.38,21,19,7,16,1.5,76,,2014-08-05 19:00
斗六,雲林縣,29,,良好,3.8,0.38,35,29,17,10,2.6,38,,2014-08-05 19:00
冬山,宜蘭縣,36,,良好,2.1,0.33,3.2,39,18,18,1.6,143,,2014-08-05 19:00
古亭,臺北市,37,,良好,2.9,1.11,13,43,18,41,2,118,,2014-08-05 19:00
左營,高雄市,0,,,,,,,,,,,,2014-08-04 13:00
平鎮,桃園縣,30,,良好,3.9,0.47,14,36,22,27,1.2,239,,2014-08-05 19:00
永和,新北市,26,,良好,3.3,1.38,16,29,19,38,1.2,130,,2014-08-05 19:00
安南,臺南市,26,,良好,2.4,0.7,13,19,11,32,2.2,132,,2014-08-05 19:00
朴子,嘉義縣,37,,良好,4.3,0.33,28,34,4,17,2.5,178,,2014-08-05 19:00
汐止,新北市,26,,良好,3.8,0.69,2,29,12,36,0.8,70,,2014-08-05 19:00
竹山,南投縣,36,,良好,3.3,0.32,43,27,4,11,2,83,,2014-08-05 19:00
竹東,新竹縣,19,,良好,1,0.32,18,20,3,8.6,0.8,111,,2014-08-05 19:00
西屯,臺中市,26,,良好,8.3,0.39,31,28,10,17,1.2,316,,2014-08-05 19:00
沙鹿,臺中市,23,,良好,8.3,0.33,28,16,10,16,1.5,309,,2014-08-05 19:00
宜蘭,宜蘭縣,43,,良好,1.4,0.37,19,35,2,6.3,1.6,129,,2014-08-05 19:00
忠明,臺中市,21,,良好,7.6,0.49,26,9,17,21,2,302,,2014-08-05 19:00
松山,臺北市,62,懸浮微粒,普通,1.8,0.96,15,24,15,37,1.5,51,,2014-08-05 19:00
板橋,新北市,35,,良好,3.8,1.34,23,43,15,48,1.1,72,,2014-08-05 19:00
林口,新北市,32,,良好,2.6,0.44,37,31,24,23,1.3,63,,2014-08-05 19:00
林園,高雄市,19,,良好,1.8,0.23,23,24,23,,4,105,,2014-08-05 19:00
花蓮,花蓮縣,26,,良好,2.3,0.4,24,37,9,10,1.1,159,,2014-08-05 19:00
金門,金門縣,22,,良好,2.3,0.14,27,23,6,5.3,2,153,,2014-08-05 19:00
前金,高雄市,23,,良好,2.1,0.71,20,28,10,23,2.3,48,,2014-08-05 19:00
前鎮,高雄市,30,,良好,1.7,0.84,15,21,3,24,1.5,51,,2014-08-05 19:00
南投,南投縣,25,,良好,9.4,0.64,13,31,12,25,1.1,333,,2014-08-05 19:00
屏東,屏東縣,25,,良好,1.8,0.7,16,23,0,16,1.6,162,,2014-08-05 19:00
恆春,屏東縣,22,,良好,1.4,0.05,26,24,2,1.3,1.1,330,,2014-08-05 19:00
美濃,高雄市,19,,良好,0.8,0.22,23,13,4,5.6,0.8,56,,2014-08-05 19:00
苗栗,苗栗縣,18,,良好,2.3,0.42,21,22,9,15,1.3,55,,2014-08-05 19:00
埔里,南投縣,22,,良好,1,0.34,26,15,10,9.8,2.3,135,,2014-08-05 19:00
桃園,桃園縣,27,,良好,2.1,0.46,40,26,16,20,1.3,7.1,,2014-08-05 19:00
馬公,澎湖縣,40,,良好,3,0.39,48,28,9,10,2.7,152,,2014-08-05 19:00
馬祖,連江縣,30,,良好,1.6,0.11,36,26,10,1.9,1.8,191,,2014-08-05 19:00
基隆,基隆市,26,,良好,2.3,0.41,31,17,13,12,0.8,101,,2014-08-05 19:00
崙背,雲林縣,36,,良好,3,0.29,43,37,17,6.2,1.3,301,,2014-08-05 19:00
淡水,新北市,28,,良好,3.3,0.22,32,32,13,11,,,,2014-08-05 19:00
麥寮,雲林縣,43,,良好,2.7,0.42,35,76,6,11,1.8,195,,2014-08-05 19:00
善化,臺南市,28,,良好,2.8,0.17,24,21,5,8,1,138,,2014-08-05 19:00
復興,高雄市,24,,良好,2.4,1.11,11,23,6,28,1,82,,2014-08-05 19:00
湖口,新竹縣,20,,良好,2.7,0.18,25,13,16,7.6,1.5,262,,2014-08-05 19:00
菜寮,新北市,27,,良好,3.7,1.07,15,39,26,51,1.4,79,,2014-08-05 19:00
陽明,臺北市,25,,良好,2.4,0.21,31,16,15,5.4,,,,2014-08-05 19:00
新竹,新竹市,15,,良好,2.2,0.59,17,16,1,19,0.9,200,,2014-08-05 19:00
新店,新北市,27,,良好,2.4,0.85,20,27,16,31,1.5,149,,2014-08-05 19:00
新莊,新北市,35,,良好,5.2,1.26,15,48,33,47,1.2,321,,2014-08-05 19:00
新港,嘉義縣,37,,良好,1.7,0.25,39,35,14,8.4,2.3,206,,2014-08-05 19:00
新營,臺南市,26,,良好,1.6,0.35,32,17,8,8.9,1.9,180,,2014-08-05 19:00
楠梓,高雄市,33,,良好,2.1,0.46,12,24,0,24,1.7,98,,2014-08-05 19:00
萬里,新北市,33,,良好,4.6,0.24,39,37,18,13,1,200,,2014-08-05 19:00
萬華,臺北市,37,,良好,3.9,1.08,15,42,21,49,1.4,80,,2014-08-05 19:00
嘉義,嘉義市,34,,良好,1.7,0.3,36,27,9,10,2.9,225,,2014-08-05 19:00
彰化,彰化縣,24,,良好,5.7,0.44,29,29,8,13,1.5,329,,2014-08-05 19:00
臺西,雲林縣,39,,良好,3,0.2,47,28,23,6.9,2.7,207,,2014-08-05 19:00
臺東,臺東縣,25,,良好,1.4,0.34,17,31,5,3.9,1.8,232,,2014-08-05 19:00
臺南,臺南市,22,,良好,2.7,0.96,18,20,8,25,1.6,105,,2014-08-05 19:00
鳳山,高雄市,40,,良好,2.2,0.57,20,39,2,18,1.8,78,,2014-08-05 19:00
潮州,屏東縣,18,,良好,1.3,0.15,19,18,10,,3.6,156,,2014-08-05 19:00
線西,彰化縣,34,,良好,13,0.15,40,20,6,2.5,1.6,299,,2014-08-05 19:00
橋頭,高雄市,24,,良好,2.6,0.42,12,23,0,21,1.7,93,,2014-08-05 19:00
頭份,苗栗縣,0,,,1.5,0.36,22,16,15,13,1.4,107,,2014-08-05 19:00
龍潭,桃園縣,28,,良好,1.2,0.35,25,25,18,11,1,269,,2014-08-05 19:00
豐原,臺中市,24,,良好,2.3,0.21,26,19,7,6.8,1.1,297,,2014-08-05 19:00
關山,臺東縣,18,,良好,1.3,,18,23,14,4.6,2.1,57,,2014-08-05 19:00
觀音,桃園縣,30,,良好,1.6,0.16,29,31,2,3.8,3,263,,2014-08-05 19:00
