SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,25,懸浮微粒,良好,2.1,0.14,14,23,16,5.3,4.4,228,,2014-06-23 07:00
三重,新北市,40,懸浮微粒,良好,2.8,1.57,,37,9,26,,,,2014-06-23 07:00
三義,苗栗縣,24,懸浮微粒,良好,4.2,0.15,12,23,10,9.6,4.1,196,,2014-06-23 07:00
土城,新北市,28,懸浮微粒,良好,1.7,0.56,2.6,32,8,16,0.8,175,,2014-06-23 07:00
士林,臺北市,26,懸浮微粒,良好,2.2,0.55,3.3,28,15,12,0.8,319,,2014-06-23 07:00
大同,臺北市,46,懸浮微粒,良好,2.6,1.13,,45,1,19,,,,2014-06-23 07:00
大里,臺中市,31,懸浮微粒,良好,3.7,0.28,11,25,4,9.4,0.8,263,,2014-06-23 07:00
大園,桃園縣,32,懸浮微粒,良好,5.9,0.29,12,28,16,11,3.3,218,,2014-06-23 07:00
大寮,高雄市,29,懸浮微粒,良好,1.1,0.13,14,21,1,5.3,1.9,134,,2014-06-23 07:00
小港,高雄市,42,懸浮微粒,良好,2.4,0.12,26,29,4,,2.7,195,,2014-06-23 07:00
中山,臺北市,42,懸浮微粒,良好,2.1,0.85,4.1,40,6,18,0.5,121,,2014-06-23 07:00
中壢,桃園縣,39,懸浮微粒,良好,5.1,1.07,3.6,48,11,18,1.7,193,,2014-06-23 07:00
仁武,高雄市,31,懸浮微粒,良好,3.5,0.22,18,40,14,6.7,1.9,130,,2014-06-23 07:00
斗六,雲林縣,28,懸浮微粒,良好,3.2,0.23,10,26,3,7,1.8,187,,2014-06-23 07:00
冬山,宜蘭縣,31,懸浮微粒,良好,2.4,0.26,3.9,31,13,8.9,0.7,267,,2014-06-23 07:00
古亭,臺北市,28,懸浮微粒,良好,1.9,0.62,2.5,29,10,11,0.9,194,,2014-06-23 07:00
左營,高雄市,35,懸浮微粒,良好,4,0.22,19,41,16,10,2.9,172,,2014-06-23 07:00
平鎮,桃園縣,38,懸浮微粒,良好,4.3,0.28,8.6,37,11,15,2.6,213,,2014-06-23 07:00
永和,新北市,18,懸浮微粒,良好,2.2,0.95,2.3,24,14,10,0.9,174,,2014-06-23 07:00
安南,臺南市,43,懸浮微粒,良好,5.3,0.33,13,42,9,12,3.4,154,,2014-06-23 07:00
朴子,嘉義縣,42,懸浮微粒,良好,3,0.27,14,47,0,7.2,3.8,175,,2014-06-23 07:00
汐止,新北市,31,懸浮微粒,良好,3,0.42,,29,10,14,1.1,229,,2014-06-23 07:00
竹山,南投縣,30,懸浮微粒,良好,2.6,0.23,7.4,28,4,6.1,0.8,2.2,,2014-06-23 07:00
竹東,新竹縣,34,懸浮微粒,良好,2.1,0.33,4.7,37,11,6.1,0.6,51,,2014-06-23 07:00
西屯,臺中市,35,懸浮微粒,良好,2.5,0.16,9.6,18,11,10,2.2,202,,2014-06-23 07:00
沙鹿,臺中市,26,懸浮微粒,良好,2.7,0.23,13,24,15,10,4,206,,2014-06-23 07:00
宜蘭,宜蘭縣,33,懸浮微粒,良好,4.5,0.27,6.9,33,8,7.3,0.9,354,,2014-06-23 07:00
忠明,臺中市,25,懸浮微粒,良好,3.1,0.3,11,22,5,10,1.5,184,,2014-06-23 07:00
松山,臺北市,27,懸浮微粒,良好,1.1,0.63,4.7,23,6,16,1.3,205,,2014-06-23 07:00
板橋,新北市,28,懸浮微粒,良好,3.4,0.65,2.7,37,10,19,0.5,232,,2014-06-23 07:00
林口,新北市,44,懸浮微粒,良好,5.6,0.29,8.9,38,19,15,2.2,226,,2014-06-23 07:00
林園,高雄市,23,臭氧,良好,2.3,0.11,27,22,11,1.6,2.2,177,,2014-06-23 07:00
花蓮,花蓮縣,28,懸浮微粒,良好,2.4,0.28,16,22,7,8.6,1.1,250,,2014-06-23 07:00
金門,金門縣,21,懸浮微粒,良好,2.9,0.11,,24,8,7.9,3.8,191,,2014-06-23 07:00
前金,高雄市,32,懸浮微粒,良好,9.2,0.17,19,32,15,9.6,2.5,171,,2014-06-23 07:00
前鎮,高雄市,24,懸浮微粒,良好,3.4,0.14,19,23,6,8.2,2.9,155,,2014-06-23 07:00
南投,南投縣,28,懸浮微粒,良好,1.7,0.23,6.8,28,15,8.1,1.1,149,,2014-06-23 07:00
屏東,屏東縣,28,懸浮微粒,良好,1.9,0.3,19,34,1,9.2,2.2,182,,2014-06-23 07:00
恆春,屏東縣,30,懸浮微粒,良好,1.2,0.05,28,32,1,0.4,4.3,204,,2014-06-23 07:00
美濃,高雄市,15,懸浮微粒,良好,1,0.15,12,17,5,4.6,2,131,,2014-06-23 07:00
苗栗,苗栗縣,22,懸浮微粒,良好,3,0.15,16,16,0,6.7,4.2,118,,2014-06-23 07:00
埔里,南投縣,32,懸浮微粒,良好,1.8,0.28,4.5,29,14,5.8,0.9,157,,2014-06-23 07:00
桃園,桃園縣,31,懸浮微粒,良好,3.7,0.36,7.3,37,18,14,1.1,233,,2014-06-23 07:00
馬公,澎湖縣,18,臭氧,良好,-0.3,0.14,22,20,0,3.8,1.9,173,,2014-06-23 07:00
馬祖,連江縣,34,臭氧,良好,2.3,0.18,40,18,2,3.1,1.9,40,,2014-06-23 07:00
基隆,基隆市,29,懸浮微粒,良好,1.3,0.46,3.7,30,14,11,1.1,234,,2014-06-23 07:00
崙背,雲林縣,23,懸浮微粒,良好,3,0.12,16,25,15,4.5,4.8,186,,2014-06-23 07:00
淡水,新北市,41,懸浮微粒,良好,5.1,0.38,5.7,39,16,15,,,,2014-06-23 07:00
麥寮,雲林縣,29,懸浮微粒,良好,1.8,0.14,18,29,2,5.3,4.7,205,,2014-06-23 07:00
善化,臺南市,31,懸浮微粒,良好,2.5,0.14,18,30,9,4.2,4.2,163,,2014-06-23 07:00
復興,高雄市,18,懸浮微粒,良好,5.7,0.25,13,21,9,11,1,208,,2014-06-23 07:00
湖口,新竹縣,19,懸浮微粒,良好,5.1,0.22,11,16,13,13,5.4,230,,2014-06-23 07:00
菜寮,新北市,24,懸浮微粒,良好,2.4,0.82,3.8,27,16,19,0.7,116,,2014-06-23 07:00
陽明,臺北市,16,懸浮微粒,良好,2.2,0.18,16,15,12,8,,,,2014-06-23 07:00
新竹,新竹市,22,懸浮微粒,良好,0.6,0.25,11,23,2,10,2.6,239,,2014-06-23 07:00
新店,新北市,20,懸浮微粒,良好,1.9,0.39,4.4,27,8,8.3,1.2,200,,2014-06-23 07:00
新莊,新北市,23,懸浮微粒,良好,3.8,0.86,3.1,32,16,24,0.5,298,,2014-06-23 07:00
新港,嘉義縣,26,懸浮微粒,良好,2,0.12,19,24,4,4.5,4.2,189,,2014-06-23 07:00
新營,臺南市,24,懸浮微粒,良好,2.2,0.16,18,25,6,2.6,3,194,,2014-06-23 07:00
楠梓,高雄市,36,懸浮微粒,良好,8.3,0.23,12,41,15,14,2.7,148,,2014-06-23 07:00
萬里,新北市,33,懸浮微粒,良好,3.1,0.36,4.8,38,16,9.6,0.6,349,,2014-06-23 07:00
萬華,臺北市,13,懸浮微粒,良好,1.7,0.51,3.6,9,3,13,1.1,156,,2014-06-23 07:00
嘉義,嘉義市,23,懸浮微粒,良好,1.9,0.13,21,20,12,3.2,3.6,212,,2014-06-23 07:00
彰化,彰化縣,29,懸浮微粒,良好,2.5,0.15,11,26,11,7.7,1.9,197,,2014-06-23 07:00
臺西,雲林縣,20,懸浮微粒,良好,1.4,0.12,21,11,7,4.2,4.3,188,,2014-06-23 07:00
臺東,臺東縣,19,懸浮微粒,良好,1.8,0.25,14,17,2,3.9,2.2,222,,2014-06-23 07:00
臺南,臺南市,27,懸浮微粒,良好,4.2,0.26,11,26,5,15,2.8,156,,2014-06-23 07:00
鳳山,高雄市,35,懸浮微粒,良好,3.5,0.26,18,43,2,7.1,1.6,153,,2014-06-23 07:00
潮州,屏東縣,24,懸浮微粒,良好,1.6,0.14,21,29,12,2.6,2.2,195,,2014-06-23 07:00
線西,彰化縣,31,懸浮微粒,良好,1.9,0.2,13,31,6,4.8,2.3,205,,2014-06-23 07:00
橋頭,高雄市,20,懸浮微粒,良好,7.6,0.25,17,21,3,14,2.9,143,,2014-06-23 07:00
頭份,苗栗縣,28,懸浮微粒,良好,4.3,0.22,14,23,9,9.6,2.9,227,,2014-06-23 07:00
龍潭,桃園縣,44,懸浮微粒,良好,1.8,0.27,9.8,52,11,9.8,2,233,,2014-06-23 07:00
豐原,臺中市,30,懸浮微粒,良好,3.7,0.25,14,30,9,6.6,2.9,195,,2014-06-23 07:00
關山,臺東縣,30,懸浮微粒,良好,1.3,,5.5,33,2,3,0.7,198,,2014-06-23 07:00
觀音,桃園縣,35,懸浮微粒,良好,6.8,0.28,10,33,12,11,6.9,260,,2014-06-23 07:00
