SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,82,臭氧,普通,3.6,0.32,98,62,57,8.6,1.7,157,,2014-09-28 11:00
三重,新北市,54,懸浮微粒,普通,2.8,1.16,,59,30,27,,,,2014-09-28 11:00
三義,苗栗縣,54,懸浮微粒,普通,3.6,0.38,51,62,39,11,1.8,308,,2014-09-28 11:00
土城,新北市,50,,良好,3.5,0.32,53,51,21,6.3,1.9,151,,2014-09-28 11:00
士林,臺北市,51,臭氧,普通,7.6,0.34,62,47,32,8.5,0.8,114,,2014-09-28 11:00
大同,臺北市,56,懸浮微粒,普通,2.9,0.89,,56,17,26,,,,2014-09-28 11:00
大里,臺中市,70,懸浮微粒,普通,3.4,0.33,72,88,49,6.6,1.4,262,,2014-09-28 11:00
大園,桃園縣,51,懸浮微粒,普通,3.9,0.25,52,51,22,9.1,5.2,44,,2014-09-28 11:00
大寮,高雄市,62,臭氧,普通,3,0.37,74,50,11,7.9,1.1,357,,2014-09-28 11:00
小港,高雄市,50,,良好,6.2,0.31,59,53,34,12,3.9,262,,2014-09-28 11:00
中山,臺北市,58,懸浮微粒,普通,1.3,0.4,40,56,20,12,2.5,127,,2014-09-28 11:00
中壢,桃園縣,56,懸浮微粒,普通,3.7,0.87,41,57,33,28,1.2,217,,2014-09-28 11:00
仁武,高雄市,47,,良好,6.2,0.42,47,40,36,26,1.7,277,,2014-09-28 11:00
斗六,雲林縣,67,臭氧,普通,4.9,0.45,81,68,60,7.6,1.8,239,,2014-09-28 11:00
冬山,宜蘭縣,50,,良好,1.9,0.26,46,50,23,6.6,2.3,71,,2014-09-28 11:00
古亭,臺北市,48,,良好,7.9,0.32,38,53,27,13,3.6,107,,2014-09-28 11:00
左營,高雄市,56,臭氧,普通,5.4,0.39,67,76,32,7.7,3.9,283,,2014-09-28 11:00
平鎮,桃園縣,51,懸浮微粒,普通,4.9,0.36,59,48,26,10,2.6,356,,2014-09-28 11:00
永和,新北市,38,,良好,6.3,0.52,39,34,21,14,2.1,137,,2014-09-28 11:00
安南,臺南市,56,臭氧,普通,3,0.29,67,66,45,4.1,2.7,293,,2014-09-28 11:00
朴子,嘉義縣,64,懸浮微粒,普通,5.8,0.53,66,74,34,11,2.4,209,,2014-09-28 11:00
汐止,新北市,43,,良好,16,0.25,39,35,20,11,1.7,89,,2014-09-28 11:00
竹山,南投縣,54,懸浮微粒,普通,2.6,0.31,63,60,33,4,1.9,267,,2014-09-28 11:00
竹東,新竹縣,49,,良好,2.6,0.36,59,55,25,7.4,2.2,346,,2014-09-28 11:00
西屯,臺中市,62,懸浮微粒,普通,2.9,0.36,66,72,40,8.5,2.3,324,,2014-09-28 11:00
沙鹿,臺中市,72,懸浮微粒,普通,4.6,0.41,57,90,46,13,3.5,339,,2014-09-28 11:00
宜蘭,宜蘭縣,46,,良好,1.1,0.26,52,49,17,2.6,3,125,,2014-09-28 11:00
忠明,臺中市,62,懸浮微粒,普通,3.1,0.42,73,68,50,8.2,2,180,,2014-09-28 11:00
松山,臺北市,49,,良好,7.4,0.25,44,45,21,9.5,2.3,72,,2014-09-28 11:00
板橋,新北市,45,,良好,5.7,0.42,46,43,25,14,1.6,70,,2014-09-28 11:00
林口,新北市,49,,良好,6.8,0.34,59,46,35,12,1.4,84,,2014-09-28 11:00
林園,高雄市,56,臭氧,普通,4.8,0.28,68,38,37,5.7,3.1,282,,2014-09-28 11:00
花蓮,花蓮縣,41,,良好,2.5,0.31,50,40,17,5.8,4.2,89,,2014-09-28 11:00
金門,金門縣,56,臭氧,普通,5.7,0.39,67,64,37,6.4,2.9,79,,2014-09-28 11:00
前金,高雄市,58,臭氧,普通,4.4,0.35,70,67,41,6.8,3.5,310,,2014-09-28 11:00
前鎮,高雄市,49,,良好,9.7,0.34,59,71,40,14,2.2,290,,2014-09-28 11:00
南投,南投縣,58,懸浮微粒,普通,2.6,0.38,66,70,39,5.9,1.7,43,,2014-09-28 11:00
屏東,屏東縣,56,臭氧,普通,2.6,0.31,67,41,28,4.3,1.6,289,,2014-09-28 11:00
恆春,屏東縣,45,,良好,2.3,0.18,45,40,22,2.4,1.6,171,,2014-09-28 11:00
美濃,高雄市,57,臭氧,普通,4.5,0.3,68,44,15,4.3,1.2,249,,2014-09-28 11:00
