SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,53,懸浮微粒,普通,2,0.37,2.7,60,41,16,1.4,127,,2014-09-29 03:00
三重,新北市,43,,良好,17,0.44,,35,27,24,,,,2014-09-29 03:00
三義,苗栗縣,43,,良好,1.2,0.32,25,43,33,6.6,1.6,201,,2014-09-29 03:00
土城,新北市,41,,良好,1.4,0.22,24,38,17,6.7,0.9,314,,2014-09-29 03:00
士林,臺北市,33,,良好,4.8,0.52,14,27,16,20,0.7,234,,2014-09-29 03:00
大同,臺北市,45,,良好,15,0.72,,46,14,23,,,,2014-09-29 03:00
大里,臺中市,64,懸浮微粒,普通,2.9,0.43,22,77,36,14,1.3,194,,2014-09-29 03:00
大園,桃園縣,40,,良好,4.1,0.4,19,44,26,22,1.5,161,,2014-09-29 03:00
大寮,高雄市,51,懸浮微粒,普通,2.1,0.28,26,42,14,6.3,1.2,43,,2014-09-29 03:00
小港,高雄市,54,懸浮微粒,普通,8.3,0.22,33,35,34,12,1.5,250,,2014-09-29 03:00
中山,臺北市,48,,良好,15,0.27,23,48,17,18,2.7,115,,2014-09-29 03:00
中壢,桃園縣,43,,良好,3.2,0.44,18,35,12,16,1.5,193,,2014-09-29 03:00
仁武,高雄市,56,懸浮微粒,普通,3.1,0.24,38,53,28,6.1,1.2,260,,2014-09-29 03:00
斗六,雲林縣,56,懸浮微粒,普通,2.6,0.53,27,71,61,12,0.7,252,,2014-09-29 03:00
冬山,宜蘭縣,42,,良好,2.3,0.23,17,45,20,7.4,0.9,298,,2014-09-29 03:00
古亭,臺北市,38,,良好,4.9,0.21,30,38,11,9.3,2.1,100,,2014-09-29 03:00
左營,高雄市,56,懸浮微粒,普通,2,0.23,41,44,23,4.3,1.8,240,,2014-09-29 03:00
平鎮,桃園縣,44,,良好,2.2,0.29,22,41,24,13,1.5,123,,2014-09-29 03:00
永和,新北市,29,,良好,4,0.25,29,26,12,8.6,1.1,155,,2014-09-29 03:00
安南,臺南市,70,懸浮微粒,普通,1.8,0.3,66,76,45,4.3,1.6,181,,2014-09-29 03:00
朴子,嘉義縣,72,懸浮微粒,普通,4.8,0.43,33,121,65,9.2,1.5,181,,2014-09-29 03:00
汐止,新北市,33,,良好,5.7,0.27,22,33,12,15,1.6,74,,2014-09-29 03:00
竹山,南投縣,60,懸浮微粒,普通,1.5,0.39,19,64,37,9.4,1,137,,2014-09-29 03:00
竹東,新竹縣,44,,良好,1.4,0.2,19,40,15,3.3,1,127,,2014-09-29 03:00
西屯,臺中市,52,懸浮微粒,普通,2.8,0.54,2.1,60,36,27,1.3,188,,2014-09-29 03:00
沙鹿,臺中市,56,懸浮微粒,普通,5.2,0.55,12,78,46,26,1.8,171,,2014-09-29 03:00
宜蘭,宜蘭縣,44,,良好,1.1,0.18,21,40,5,1.8,0.9,317,,2014-09-29 03:00
忠明,臺中市,50,,良好,3.8,0.57,21,55,39,18,1.2,148,,2014-09-29 03:00
松山,臺北市,33,,良好,4.6,0.23,29,32,12,11,1.2,79,,2014-09-29 03:00
板橋,新北市,34,,良好,4.6,0.28,30,37,16,12,1.5,124,,2014-09-29 03:00
林口,新北市,28,,良好,11,0.25,33,27,26,16,1.4,118,,2014-09-29 03:00
林園,高雄市,32,,良好,3.3,0.18,31,24,13,11,0.9,226,,2014-09-29 03:00
花蓮,花蓮縣,34,,良好,1.7,0.2,22,32,15,2.5,1.5,267,,2014-09-29 03:00
金門,金門縣,42,,良好,4.2,0.25,40,43,25,5.5,1.4,106,,2014-09-29 03:00
前金,高雄市,58,懸浮微粒,普通,3.2,0.24,42,45,22,4.8,1.9,238,,2014-09-29 03:00
前鎮,高雄市,54,懸浮微粒,普通,3.3,0.22,37,35,30,9.2,0.7,281,,2014-09-29 03:00
南投,南投縣,60,懸浮微粒,普通,1.4,0.4,19,70,39,7.7,1.6,141,,2014-09-29 03:00
屏東,屏東縣,53,懸浮微粒,普通,1.9,0.35,30,42,27,6.8,0.7,246,,2014-09-29 03:00
恆春,屏東縣,42,,良好,1.5,0.13,35,40,14,1.4,5.7,37,,2014-09-29 03:00
美濃,高雄市,54,懸浮微粒,普通,1.8,0.33,28,49,35,3.5,1.1,43,,2014-09-29 03:00
苗栗,苗栗縣,44,,良好,1.6,0.33,17,40,30,9.2,1,99,,2014-09-29 03:00
埔里,南投縣,54,懸浮微粒,普通,2.5,0.38,12,56,51,8.5,0.9,282,,2014-09-29 03:00
桃園,桃園縣,37,,良好,5.7,0.26,34,36,24,10,0.6,120,,2014-09-29 03:00
馬公,澎湖縣,35,,良好,2,0.16,38,33,12,1.2,1.3,15,,2014-09-29 03:00
馬祖,連江縣,38,,良好,2,0.18,43,34,14,1.7,0.6,63,,2014-09-29 03:00
基隆,基隆市,23,,良好,0.9,0.24,21,23,12,5.2,0.4,276,,2014-09-29 03:00
崙背,雲林縣,56,懸浮微粒,普通,2.3,0.33,11,58,35,7.6,1.4,165,,2014-09-29 03:00
淡水,新北市,38,,良好,7.7,0.3,21,39,16,14,,,,2014-09-29 03:00
麥寮,雲林縣,67,懸浮微粒,普通,3,0.41,10,76,41,16,1.4,182,,2014-09-29 03:00
善化,臺南市,62,懸浮微粒,普通,3.1,0.37,38,71,42,5.8,1.2,146,,2014-09-29 03:00
復興,高雄市,52,懸浮微粒,普通,3.6,0.23,29,35,20,9.8,0.6,241,,2014-09-29 03:00
湖口,新竹縣,43,,良好,1.9,0.33,5.6,38,7,18,0.8,160,,2014-09-29 03:00
菜寮,新北市,33,,良好,16,0.31,21,38,22,22,1.9,123,,2014-09-29 03:00
陽明,臺北市,42,,良好,0.7,0.14,50,9,8,0.4,,,,2014-09-29 03:00
新竹,新竹市,34,,良好,-0.2,0.3,14,33,22,8.4,0.9,194,,2014-09-29 03:00
新店,新北市,29,,良好,1.5,0.26,23,23,16,6.4,1,115,,2014-09-29 03:00
新莊,新北市,29,,良好,11,0.25,29,26,11,13,1,80,,2014-09-29 03:00
新港,嘉義縣,67,懸浮微粒,普通,4.3,0.41,28,97,50,8,1.4,207,,2014-09-29 03:00
新營,臺南市,68,懸浮微粒,普通,4,0.37,45,75,44,4.3,1.3,179,,2014-09-29 03:00
楠梓,高雄市,65,懸浮微粒,普通,3.2,0.36,35,60,39,8.3,0.5,134,,2014-09-29 03:00
萬里,新北市,41,,良好,2,0.17,30,37,5,3.5,3.5,209,,2014-09-29 03:00
萬華,臺北市,31,,良好,16,0.25,29,29,10,18,2,120,,2014-09-29 03:00
嘉義,嘉義市,62,懸浮微粒,普通,4.1,0.4,40,74,41,6.4,1.8,211,,2014-09-29 03:00
彰化,彰化縣,54,懸浮微粒,普通,5.8,0.51,9.6,77,45,17,0.9,184,,2014-09-29 03:00
臺西,雲林縣,54,懸浮微粒,普通,6.1,0.41,15,68,42,15,2.3,264,,2014-09-29 03:00
臺東,臺東縣,32,,良好,1.1,0.2,31,28,13,0.6,1.4,293,,2014-09-29 03:00
臺南,臺南市,66,懸浮微粒,普通,2.5,0.3,66,66,46,3.5,1,196,,2014-09-29 03:00
鳳山,高雄市,0,,,5.6,0.27,36,,18,9.3,1,263,,2014-09-29 03:00
潮州,屏東縣,52,懸浮微粒,普通,1.2,0.26,24,43,25,3.9,0.5,51,,2014-09-29 03:00
線西,彰化縣,53,懸浮微粒,普通,3.1,0.51,6.4,70,41,21,2.2,155,,2014-09-29 03:00
橋頭,高雄市,58,懸浮微粒,普通,3.6,0.46,26,66,42,13,0.8,157,,2014-09-29 03:00
頭份,苗栗縣,48,,良好,6.5,0.37,5.7,56,27,16,1.4,203,,2014-09-29 03:00
龍潭,桃園縣,43,,良好,1.1,0.24,19,33,12,9,0.8,136,,2014-09-29 03:00
豐原,臺中市,51,懸浮微粒,普通,6,0.46,25,60,35,12,2,160,,2014-09-29 03:00
關山,臺東縣,29,,良好,1.3,,24,26,12,1.3,0.6,321,,2014-09-29 03:00
觀音,桃園縣,47,,良好,5.4,0.37,14,50,16,27,2.5,145,,2014-09-29 03:00
