SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,60,懸浮微粒,普通,6,.4,43,71,43,24,2.64,43.43,,2014-04-11 08:00
三重,新北市,43,懸浮微粒,良好,3,.96,,43,30,48,,,,2014-04-11 08:00
三義,苗栗縣,70,懸浮微粒,普通,3,.45,41,91,64,29,2.21,186.43,,2014-04-11 08:00
土城,新北市,42,懸浮微粒,良好,3,.51,48,42,39,32,.76,114.58,,2014-04-11 08:00
士林,台北市,48,臭氧,良好,2,.34,57,29,23,20,.75,121.59,,2014-04-11 08:00
大同,台北市,45,懸浮微粒,良好,3,1.63,,45,19,49,,,,2014-04-11 08:00
大里,台中市,64,懸浮微粒,普通,4,.57,23,79,41,39,1.27,241.85,,2014-04-11 08:00
大園,桃園縣,42,懸浮微粒,良好,4,.46,46,42,31,23,1.62,193.77,,2014-04-11 07:00
大寮,高雄市,58,懸浮微粒,普通,7,.48,55,65,48,23,1.1,263.27,,2014-04-11 08:00
小港,高雄市,65,懸浮微粒,普通,10,.54,61,80,51,47,1.46,42.62,,2014-04-11 08:00
中山,台北市,49,懸浮微粒,良好,3,.42,46,49,27,29,1.94,154.04,,2014-04-11 08:00
中壢,桃園縣,59,懸浮微粒,普通,5,1.27,25,68,46,42,1.58,160.37,,2014-04-11 08:00
仁武,高雄市,70,懸浮微粒,普通,6,.51,64,90,52,37,1.17,314.34,,2014-04-11 08:00
斗六,雲林縣,27,臭氧,良好,6,,32,,39,29,.57,169.72,,2014-04-11 04:00
冬山,宜蘭縣,35,臭氧,良好,2,.32,42,30,23,22,.48,208.38,,2014-04-11 08:00
古亭,台北市,37,臭氧,良好,2,.5,45,33,10,26,1.76,183.46,,2014-04-11 08:00
台西,雲林縣,52,臭氧,普通,4,.28,63,47,32,39,4.43,36.39,,2014-04-11 08:00
台東,台東縣,45,臭氧,良好,1,.36,54,18,10,10,1.2,293.07,,2014-04-11 08:00
台南,台南市,64,懸浮微粒,普通,4,.46,54,77,39,22,1.77,52.78,,2014-04-11 08:00
左營,高雄市,64,懸浮微粒,普通,5,.48,74,78,59,23,1.71,359.73,,2014-04-11 08:00
平鎮,桃園縣,6,二氧化硫,良好,4,,,,9,22,1.4,177.36,,2014-04-11 01:00
永和,新北市,42,臭氧,良好,2,.76,50,21,17,25,1.3,112.47,,2014-04-11 08:00
安南,台南市,62,懸浮微粒,普通,4,.39,49,75,38,24,3.08,32.96,,2014-04-11 08:00
