SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,70,懸浮微粒,普通,2.6,0.39,8.2,56,30,13,0.8,127,8,2014-11-23 23:00
三重,新北市,60,懸浮微粒,普通,7.1,1.83,,122,53,37,,,3,2014-11-23 23:00
三義,苗栗縣,60,懸浮微粒,普通,1.3,0.46,39,79,52,8.6,0.6,167,6,2014-11-23 23:00
土城,新北市,27,,良好,1.7,0.65,15,29,8,25,1.2,295,1,2014-11-23 23:00
士林,臺北市,30,,良好,1.3,0.21,36,17,12,,2.7,88,1,2014-11-23 23:00
大同,臺北市,36,,良好,2.8,1.25,,32,2,38,,,1,2014-11-23 23:00
大里,臺中市,82,懸浮微粒,普通,3.2,0.97,9.9,118,106,31,1,94,10,2014-11-23 23:00
大園,桃園縣,50,,良好,2.5,0.47,14,28,9,22,1,192,2,2014-11-23 23:00
大寮,高雄市,52,懸浮微粒,普通,3.4,0.69,2.1,62,26,29,0.6,209,2,2014-11-23 23:00
小港,高雄市,43,,良好,1.9,0.68,26,47,14,28,1,349,2,2014-11-23 23:00
中山,臺北市,37,,良好,2.1,0.5,18,31,7,23,2.2,123,1,2014-11-23 23:00
中壢,桃園縣,64,懸浮微粒,普通,4.1,2.16,2.8,74,31,45,1.1,184,3,2014-11-23 23:00
仁武,高雄市,51,懸浮微粒,普通,2.4,0.62,15,60,28,31,0.7,1.9,2,2014-11-23 23:00
斗六,雲林縣,99,懸浮微粒,普通,2.3,0.7,28,174,132,13,0.7,124,10,2014-11-23 23:00
冬山,宜蘭縣,34,,良好,4,0.27,11,35,15,11,0.5,84,2,2014-11-23 23:00
古亭,臺北市,24,,良好,1.5,0.34,23,21,6,15,2.2,75,1,2014-11-23 23:00
左營,高雄市,42,,良好,3.3,1.05,10,58,32,38,0.5,3.2,2,2014-11-23 23:00
平鎮,桃園縣,59,懸浮微粒,普通,3.4,1.1,3.6,63,27,43,1.5,179,3,2014-11-23 23:00
永和,新北市,20,,良好,1,0.43,25,11,8,15,2.3,84,1,2014-11-23 23:00
安南,臺南市,58,懸浮微粒,普通,3.9,0.77,5.5,88,35,37,0.8,154,3,2014-11-23 23:00
朴子,嘉義縣,74,懸浮微粒,普通,2.4,0.43,18,130,87,12,0.7,52,5,2014-11-23 23:00
汐止,新北市,16,,良好,1.3,0.34,19,13,10,19,1.3,94,2,2014-11-23 23:00
竹山,南投縣,102,懸浮微粒,不良,2,0.5,14,164,122,17,1,140,10,2014-11-23 23:00
竹東,新竹縣,62,懸浮微粒,普通,1.6,0.48,24,68,41,13,2.2,133,5,2014-11-23 23:00
西屯,臺中市,84,懸浮微粒,普通,3.7,1.04,1.6,116,62,40,0.5,222,9,2014-11-23 23:00
沙鹿,臺中市,76,懸浮微粒,普通,2.7,1.1,8.7,86,48,46,0.7,158,7,2014-11-23 23:00
宜蘭,宜蘭縣,36,,良好,1.9,0.33,11,39,11,12,0.9,194,1,2014-11-23 23:00
忠明,臺中市,82,懸浮微粒,普通,4,1.44,1.6,120,69,43,0.4,23,10,2014-11-23 23:00
松山,臺北市,17,,良好,0.3,0.5,14,12,9,25,1.4,57,1,2014-11-23 23:00
板橋,新北市,25,,良好,3.1,0.61,14,21,10,24,2.6,55,1,2014-11-23 23:00
林口,新北市,26,,良好,1.6,0.21,31,18,12,9.3,3.1,88,2,2014-11-23 23:00
林園,高雄市,39,,良好,3.5,0.55,19,56,30,17,1.4,56,2,2014-11-23 23:00
花蓮,花蓮縣,20,,良好,1.2,0.19,19,15,4,4.1,2.2,231,1,2014-11-23 23:00
金門,金門縣,48,,良好,6.2,0.37,26,45,18,10,1.7,53,2,2014-11-23 23:00
前金,高雄市,50,,良好,1.5,0.44,29,59,18,23,1.7,320,2,2014-11-23 23:00
前鎮,高雄市,46,,良好,1.8,0.77,27,50,23,25,1.1,5.9,2,2014-11-23 23:00
南投,南投縣,80,懸浮微粒,普通,2.4,0.77,7,114,67,22,1.6,189,8,2014-11-23 23:00
屏東,屏東縣,52,懸浮微粒,普通,2.2,0.64,23,60,14,22,1.1,46,2,2014-11-23 23:00
恆春,屏東縣,34,,良好,0.8,0.1,41,27,6,2,7.7,60,1,2014-11-23 23:00
美濃,高雄市,46,,良好,1.7,0.28,21,40,22,7.9,1.3,28,3,2014-11-23 23:00
苗栗,苗栗縣,60,懸浮微粒,普通,1.6,0.58,19,70,46,19,1.3,188,5,2014-11-23 23:00
埔里,南投縣,62,懸浮微粒,普通,2.2,0.76,11,88,78,27,0.6,247,8,2014-11-23 23:00
桃園,桃園縣,29,,良好,4,0.58,12,25,11,27,1,126,2,2014-11-23 23:00
馬公,澎湖縣,38,,良好,1.5,0.18,44,33,10,2.7,1.2,313,2,2014-11-23 23:00
馬祖,連江縣,42,,良好,1.4,0.15,42,35,17,4.7,2.4,62,2,2014-11-23 23:00
基隆,基隆市,18,,良好,1.1,0.58,22,11,4,18,0.7,160,1,2014-11-23 23:00
崙背,雲林縣,65,懸浮微粒,普通,2.7,0.34,21,79,28,9.2,0.6,350,4,2014-11-23 23:00
淡水,新北市,31,,良好,1.5,0.14,37,23,4,1.9,,,1,2014-11-23 23:00
